theta_amp_deg,probe_frequency_Hz,gain_abs_rad_per_us,gain_droop_dB,angle_THD
11,7.8,0.00113154218778372,-3.11867322231035,0.0102001476966185
11,10.4,0.000931743898414289,-4.80615708540692,0.00721611113783732
11,13,0.000763826945557098,-6.53218873533022,0.00712153390129208
11,15,0.000654430968137539,-7.87481138854735,0.0107997950684778
13,6.6,0.00124488489929039,-2.33981837253138,0.0116852642114578
13,8.8,0.00105179496509356,-3.80378059974881,0.010035536997191
13,11,0.000881240642852985,-5.34051197795806,0.0100046632220499
13,13.2,0.000738777739607333,-6.87212632887388,0.00701218144908058
13,15,0.000643621831768884,-8.0697870098576,0.00693313349073716
15,5.7,0.00131838926021337,-1.77852888633795,0.0123103497219982
15,7.6,0.0011478819680205,-2.9814573443297,0.0113905816778264
15,9.5,0.000984196003610279,-4.31777007276112,0.0119990993722131
15,11.5,0.00082901781737971,-5.80812472569234,0.0117893625206282
15,13.4,0.000708290435799594,-7.1751744678979,0.00942986546926023
