t_ms,t_s,phase,count,p_m,p_ref_m,v_mps,theta_hat_rad,T_hat_N,theta_cmd_rad,T_cmd_N,servo_us,esc_us
8,0.008,control,-3542,0.00003,-0.10000,0.00022,0.00000,2.57400,-1.04720,2.57400,2000,1700
26,0.026,control,-3542,0.00003,-0.10000,0.00028,-0.85836,2.57400,-0.44416,2.57400,1629,1700
46,0.046,control,-3575,0.00054,-0.10000,0.00386,-0.51885,2.57400,-0.70022,2.57400,1790,1700
66,0.066,control,-3661,0.00187,-0.10000,0.01423,-0.66751,2.57400,-0.64332,2.57400,1754,1700
86,0.086,control,-3725,0.00285,-0.10000,0.02403,-0.64768,2.57400,-0.69967,2.57400,1790,1700
128,0.128,control,-3697,0.00242,-0.10000,0.02395,-0.69029,2.57400,-0.66488,2.57400,1768,1700
147,0.147,control,-3611,0.00110,-0.10000,0.01107,-0.66946,2.57400,-0.62356,2.57400,1742,1700
167,0.167,control,-3457,-0.00128,-0.10000,-0.01871,-0.63184,2.57400,-0.52783,2.57400,1681,1700
187,0.187,control,-3172,-0.00568,-0.10000,-0.06534,-0.54658,2.57400,-0.38941,2.57400,1594,1700
207,0.207,control,-2821,-0.01109,-0.10000,-0.11422,-0.41775,2.57400,-0.26367,2.57400,1515,1700
229,0.229,control,-2409,-0.01745,-0.10000,-0.16409,-0.29145,2.57400,-0.12303,2.57400,1427,1700
248,0.248,control,-1969,-0.02424,-0.10000,-0.20994,-0.15340,2.57400,0.00072,2.57400,1349,1700
268,0.268,control,-1525,-0.03109,-0.10000,-0.24087,-0.02707,2.57400,0.08460,2.57400,1296,1700
288,0.288,control,-1116,-0.03740,-0.10000,-0.25641,0.06447,2.57400,0.13704,2.57400,1263,1700
308,0.308,control,-738,-0.04323,-0.10000,-0.25740,0.12396,2.57400,0.15948,2.57400,1249,1700
328,0.328,control,-404,-0.04839,-0.10000,-0.24625,0.15307,2.57400,0.15650,2.57400,1251,1700
348,0.348,control,-139,-0.05248,-0.10000,-0.22357,0.15588,2.57400,0.12323,2.57400,1272,1700
368,0.368,control,20,-0.05493,-0.10000,-0.18977,0.12912,2.57400,0.05729,2.57400,1313,1700
388,0.388,control,-24,-0.05425,-0.10000,-0.13405,0.07024,2.57400,-0.09047,2.57400,1406,1700
408,0.408,control,-162,-0.05212,-0.10000,-0.06635,-0.06149,2.57400,-0.24126,2.57400,1501,1700
428,0.428,control,-344,-0.04931,-0.10000,0.00224,-0.20884,2.57400,-0.39108,2.57400,1595,1700
449,0.449,control,-521,-0.04658,-0.10000,0.05910,-0.35821,2.57400,-0.50036,2.57400,1664,1700
468,0.468,control,-668,-0.04431,-0.10000,0.08729,-0.47473,2.57400,-0.53419,2.57400,1686,1700
488,0.488,control,-754,-0.04299,-0.10000,0.09013,-0.52347,2.57400,-0.52305,2.57400,1678,1700
508,0.508,control,-765,-0.04282,-0.10000,0.07251,-0.52313,2.57400,-0.46750,2.57400,1644,1700
528,0.528,control,-700,-0.04382,-0.10000,0.04109,-0.47753,2.57400,-0.38640,2.57400,1593,1700
548,0.548,control,-438,-0.04786,-0.10000,-0.01252,-0.40284,2.57400,-0.22148,2.57400,1489,1700
568,0.568,control,-79,-0.05340,-0.10000,-0.07666,-0.25419,2.57400,-0.05850,2.57400,1386,1700
588,0.588,control,323,-0.05960,-0.10000,-0.14051,-0.09379,2.57400,0.10220,2.57400,1285,1700
608,0.608,control,735,-0.06596,-0.10000,-0.19714,0.06685,2.57400,0.24075,2.57400,1198,1700
628,0.628,control,1117,-0.07186,-0.10000,-0.22709,0.20939,2.57400,0.30001,2.57400,1161,1700
648,0.648,control,1433,-0.07673,-0.10000,-0.23144,0.28367,2.57400,0.31296,2.57400,1153,1700
668,0.668,control,1672,-0.08042,-0.10000,-0.21513,0.30768,2.57400,0.28140,2.57400,1173,1700
690,0.690,control,1850,-0.08317,-0.10000,-0.18497,0.28614,2.57400,0.22675,2.57400,1207,1700
709,0.709,control,1925,-0.08432,-0.10000,-0.14276,0.23746,2.57400,0.13520,2.57400,1264,1700
729,0.729,control,1849,-0.08315,-0.10000,-0.08776,0.15364,2.57400,0.00218,2.57400,1348,1700
749,0.749,control,1583,-0.07905,-0.10000,-0.01672,0.02950,2.57400,-0.18557,2.57400,1466,1700
769,0.769,control,1250,-0.07391,-0.10000,0.05979,-0.14679,2.57400,-0.36529,2.57400,1579,1700
789,0.789,control,921,-0.06883,-0.10000,0.12638,-0.32589,2.57400,-0.50997,2.57400,1670,1700
809,0.809,control,606,-0.06397,-0.10000,0.17217,-0.47677,2.57400,-0.60428,2.57400,1730,1700
829,0.829,control,348,-0.05999,-0.10000,0.18504,-0.58129,2.57400,-0.61446,2.57400,1736,1700
850,0.850,control,153,-0.05698,-0.10000,0.17400,-0.60848,2.57400,-0.59074,2.57400,1721,1700
870,0.870,control,62,-0.05558,-0.10000,0.14498,-0.59394,2.57400,-0.52085,2.57400,1677,1700
891,0.891,control,86,-0.05595,-0.10000,0.09966,-0.53403,2.57400,-0.41104,2.57400,1608,1700
935,0.935,control,662,-0.06484,-0.10000,-0.00402,-0.43322,2.57400,-0.05013,2.57400,1381,1700
954,0.954,control,1080,-0.07128,-0.10000,-0.10133,-0.11921,2.57400,0.11436,2.57400,1278,1700
974,0.974,control,1480,-0.07746,-0.10000,-0.18355,0.07224,2.57400,0.31292,2.57400,1153,1700
994,0.994,control,1864,-0.08338,-0.10000,-0.24710,0.26952,2.57400,0.44376,2.57400,1070,1700
1014,1.014,control,2232,-0.08906,-0.10000,-0.24370,0.41234,2.57400,0.39156,2.57400,1103,1700
1035,1.035,control,2574,-0.09434,-0.10000,-0.23447,0.39531,2.57400,0.42866,2.57400,1080,1700
1055,1.055,control,2865,-0.09883,-0.10000,-0.21993,0.42264,2.57400,0.40891,2.57400,1092,1700
1075,1.075,control,3103,-0.10250,-0.10000,-0.19980,0.41139,2.57400,0.38950,2.57400,1105,1700
1095,1.095,control,3267,-0.10503,-0.10000,-0.17173,0.39345,2.57400,0.33689,2.57400,1138,1700
1115,1.115,control,3323,-0.10589,-0.10000,-0.13242,0.34709,2.57400,0.25010,2.57400,1192,1700
1135,1.135,control,3261,-0.10494,-0.10000,-0.08250,0.26759,2.57400,0.13291,2.57400,1266,1700
1157,1.157,control,2963,-0.10034,-0.10000,-0.00963,0.15720,2.57400,-0.07566,2.57400,1397,1700
1176,1.176,control,2581,-0.09444,-0.10000,0.07120,-0.03367,2.57400,-0.26717,2.57400,1518,1700
1196,1.196,control,2172,-0.08813,-0.10000,0.14568,-0.22506,2.57400,-0.44189,2.57400,1627,1700
1216,1.216,control,1768,-0.08190,-0.10000,0.20496,-0.40279,2.57400,-0.57578,2.57400,1712,1700
1236,1.236,control,1400,-0.07622,-0.10000,0.23030,-0.54458,2.57400,-0.61824,2.57400,1738,1700
1256,1.256,control,1060,-0.07098,-0.10000,0.23337,-0.60496,2.57400,-0.64070,2.57400,1752,1700
1276,1.276,control,781,-0.06667,-0.10000,0.22025,-0.63425,2.57400,-0.62228,2.57400,1741,1700
1296,1.296,control,587,-0.06368,-0.10000,0.19363,-0.62444,2.57400,-0.57355,2.57400,1710,1700
1316,1.316,control,497,-0.06229,-0.10000,0.15562,-0.58272,2.57400,-0.49323,2.57400,1660,1700
1336,1.336,control,524,-0.06271,-0.10000,0.10458,-0.50937,2.57400,-0.37371,2.57400,1585,1700
1356,1.356,control,732,-0.06592,-0.10000,0.03667,-0.39817,2.57400,-0.19645,2.57400,1473,1700
1378,1.378,control,1093,-0.07149,-0.10000,-0.04365,-0.23282,2.57400,0.00796,2.57400,1344,1700
1397,1.397,control,1485,-0.07753,-0.10000,-0.11981,-0.03546,2.57400,0.18123,2.57400,1236,1700
1417,1.417,control,1887,-0.08374,-0.10000,-0.18316,0.14215,2.57400,0.32817,2.57400,1143,1700
1437,1.437,control,2285,-0.08988,-0.10000,-0.22268,0.29462,2.57400,0.41431,2.57400,1089,1700
1457,1.457,control,2668,-0.09579,-0.10000,-0.23692,0.39273,2.57400,0.45365,2.57400,1064,1700
1477,1.477,control,3016,-0.10116,-0.10000,-0.23643,0.44266,2.57400,0.47315,2.57400,1052,1700
1497,1.497,control,3304,-0.10560,-0.10000,-0.22398,0.46765,2.57400,0.46138,2.57400,1059,1700
1517,1.517,control,3515,-0.10886,-0.10000,-0.20004,0.46251,2.57400,0.42087,2.57400,1085,1700
1537,1.537,control,3645,-0.11086,-0.10000,-0.16554,0.42838,2.57400,0.35314,2.57400,1127,1700
1557,1.557,control,3679,-0.11139,-0.10000,-0.12127,0.36671,2.57400,0.25739,2.57400,1188,1700
1577,1.577,control,3588,-0.10998,-0.10000,-0.06705,0.27710,2.57400,0.12859,2.57400,1269,1700
1598,1.598,control,3259,-0.10491,-0.10000,0.00753,0.15537,2.57400,-0.08263,2.57400,1401,1700
1617,1.617,control,2845,-0.09852,-0.10000,0.08867,-0.03971,2.57400,-0.27732,2.57400,1524,1700
1637,1.637,control,2415,-0.09188,-0.10000,0.16312,-0.23448,2.57400,-0.45301,2.57400,1634,1700
