t_ms,t_s,servo_us,count
255,0.255,800,316
508,0.508,825,318
816,0.816,850,316
1069,1.069,875,308
1322,1.322,900,302
1575,1.575,925,296
1828,1.828,950,288
2081,2.081,975,280
2334,2.334,1000,276
2587,2.587,1025,270
2840,2.840,1050,268
3093,3.093,1075,263
3347,3.347,1100,251
3600,3.600,1125,246
3910,3.910,1150,238
4164,4.164,1175,225
4418,4.418,1200,208
4672,4.672,1225,194
4926,4.926,1250,183
5180,5.180,1275,169
5434,5.434,1300,158
5733,5.733,1325,142
5987,5.987,1350,126
6241,6.241,1375,112
6495,6.495,1400,93
6749,6.749,1425,77
7041,7.041,1450,64
7329,7.329,1475,48
7613,7.613,1500,39
7941,7.941,1525,21
8227,8.227,1550,7
8511,8.511,1575,-4
8798,8.798,1600,-22
9084,9.084,1625,-40
9378,9.378,1650,-52
9665,9.665,1675,-69
9953,9.953,1700,-82
10240,10.240,1725,-96
10523,10.523,1750,-113
10810,10.810,1775,-129
11099,11.099,1800,-141
11388,11.388,1825,-159
11673,11.673,1850,-177
11959,11.959,1875,-189
12298,12.298,1900,-210
12583,12.583,1925,-223
12868,12.868,1950,-239
13158,13.158,1975,-253
13445,13.445,2000,-267
13733,13.733,2025,-281
14018,14.018,2050,-299
14305,14.305,2075,-312
14592,14.592,2100,-322
14882,14.882,2125,-343
15171,15.171,2125,-344
15462,15.462,2100,-332
15752,15.752,2075,-319
16038,16.038,2050,-311
16325,16.325,2025,-296
16668,16.668,2000,-284
16955,16.955,1975,-273
17247,17.247,1950,-260
17538,17.538,1925,-249
17830,17.830,1900,-236
18122,18.122,1875,-216
18411,18.411,1850,-202
18698,18.698,1825,-187
18987,18.987,1800,-169
19276,19.276,1775,-153
19566,19.566,1750,-142
19859,19.859,1725,-125
20160,20.160,1700,-111
20450,20.450,1675,-101
20739,20.739,1650,-87
21085,21.085,1625,-69
21375,21.375,1600,-60
21664,21.664,1575,-42
21957,21.957,1550,-28
22250,22.250,1525,-18
22542,22.542,1500,-2
22833,22.833,1475,8
23123,23.123,1450,26
23411,23.411,1425,40
23701,23.701,1400,50
23994,23.994,1375,64
24290,24.290,1350,80
24581,24.581,1325,91
24877,24.877,1300,106
25170,25.170,1275,121
25517,25.517,1250,135
25807,25.807,1225,151
26097,26.097,1200,167
26387,26.387,1175,180
26679,26.679,1150,194
26977,26.977,1125,208
27273,27.273,1100,219
27566,27.566,1075,232
27860,27.860,1050,247
28151,28.151,1025,260
28442,28.442,1000,274
28736,28.736,975,289
29030,29.030,950,302
29325,29.325,925,317
29620,29.620,900,332
29975,29.975,875,343
30266,30.266,850,358
30561,30.561,825,370
30853,30.853,800,382
31146,31.146,800,382
31444,31.444,825,375
31740,31.740,850,368
32038,32.038,875,357
32332,32.332,900,347
32626,32.626,925,340
32919,32.919,950,328
33212,33.212,975,315
33504,33.504,1000,309
33800,33.800,1025,299
34096,34.096,1050,285
34447,34.447,1075,275
34742,34.742,1100,259
35036,35.036,1125,243
35331,35.331,1150,231
35629,35.629,1175,214
35929,35.929,1200,197
36223,36.223,1225,183
36522,36.522,1250,172
36826,36.826,1275,158
37123,37.123,1300,145
37420,37.420,1325,130
37719,37.719,1350,114
38018,38.018,1375,98
38314,38.314,1400,81
38613,38.613,1425,66
38963,38.963,1450,51
39260,39.260,1475,36
39562,39.562,1500,26
39860,39.860,1525,8
40159,40.159,1550,-7
40454,40.454,1575,-19
40754,40.754,1600,-36
41050,41.050,1625,-54
41347,41.347,1650,-67
41651,41.651,1675,-83
41951,41.951,1700,-98
42247,42.247,1725,-109
42548,42.548,1750,-129
42849,42.849,1775,-143
43147,43.147,1800,-158
43501,43.501,1825,-175
43798,43.798,1850,-192
44096,44.096,1875,-204
44400,44.400,1900,-224
44700,44.700,1925,-238
45004,45.004,1950,-255
45305,45.305,1975,-267
45603,45.603,2000,-284
45902,45.902,2025,-296
46202,46.202,2050,-315
46502,46.502,2075,-327
46804,46.804,2100,-338
47105,47.105,2125,-358
47409,47.409,2125,-359
47714,47.714,2100,-348
48069,48.069,2075,-334
48369,48.369,2050,-326
48672,48.672,2025,-311
48975,48.975,2000,-299
49278,49.278,1975,-287
49581,49.581,1950,-275
49891,49.891,1925,-263
50194,50.194,1900,-251
50495,50.495,1875,-232
50796,50.796,1850,-218
51097,51.097,1825,-201
51396,51.396,1800,-185
51700,51.700,1775,-168
52002,52.002,1750,-157
52308,52.308,1725,-140
52673,52.673,1700,-128
52976,52.976,1675,-115
53277,53.277,1650,-102
53582,53.582,1625,-84
53887,53.887,1600,-67
54192,54.192,1575,-49
54503,54.503,1550,-35
54812,54.812,1525,-20
55119,55.119,1500,-4
55452,55.452,1475,8
55735,55.735,1450,25
56017,56.017,1425,39
56309,56.309,1400,49
56597,56.597,1375,64
56879,56.879,1350,79
57222,57.222,1325,91
57504,57.504,1300,105
57790,57.790,1275,120
58071,58.071,1250,136
58355,58.355,1225,150
58639,58.639,1200,167
58925,58.925,1175,180
59211,59.211,1150,194
59498,59.498,1125,208
59780,59.780,1100,219
60060,60.060,1075,233
60342,60.342,1050,248
60625,60.625,1025,261
60909,60.909,1000,275
61192,61.192,975,288
61546,61.546,950,303
61833,61.833,925,317
62118,62.118,900,333
62404,62.404,875,343
62687,62.687,850,359
62972,62.972,825,370
63259,63.259,800,381
