t_ms,t_s,set_index,segment,phase,servo_us,esc_pwm_us,count,count_delta,count_from_start
10005,10.005,1,angle_n20_esc1900,user_wait,1651,1000,-11299,0,0
10025,10.025,1,angle_n20_esc1900,user_wait,1651,1000,-11299,0,0
10045,10.045,1,angle_n20_esc1900,user_wait,1651,1000,-11299,0,0
10065,10.065,1,angle_n20_esc1900,user_wait,1651,1000,-11299,0,0
10085,10.085,1,angle_n20_esc1900,user_wait,1651,1000,-11299,0,0
10105,10.105,1,angle_n20_esc1900,user_wait,1651,1000,-11299,0,0
10125,10.125,1,angle_n20_esc1900,user_wait,1651,1000,-11299,0,0
10161,10.161,1,angle_n20_esc1900,user_wait,1651,1000,-11299,0,0
10182,10.182,1,angle_n20_esc1900,user_wait,1651,1000,-11299,0,0
10202,10.202,1,angle_n20_esc1900,user_wait,1651,1000,-11299,0,0
10223,10.223,1,angle_n20_esc1900,run,1651,1900,-11299,0,0
10243,10.243,1,angle_n20_esc1900,run,1651,1900,-11299,0,0
10263,10.263,1,angle_n20_esc1900,run,1651,1900,-11299,0,0
10283,10.283,1,angle_n20_esc1900,run,1651,1900,-11299,0,0
10303,10.303,1,angle_n20_esc1900,run,1651,1900,-11299,0,0
10323,10.323,1,angle_n20_esc1900,run,1651,1900,-11299,0,0
10343,10.343,1,angle_n20_esc1900,run,1651,1900,-11299,0,0
10363,10.363,1,angle_n20_esc1900,run,1651,1900,-11299,0,0
10383,10.383,1,angle_n20_esc1900,run,1651,1900,-11299,0,0
10403,10.403,1,angle_n20_esc1900,run,1651,1900,-11297,2,2
10423,10.423,1,angle_n20_esc1900,run,1651,1900,-11297,0,2
10443,10.443,1,angle_n20_esc1900,run,1651,1900,-11286,11,13
10463,10.463,1,angle_n20_esc1900,run,1651,1900,-11272,14,27
10483,10.483,1,angle_n20_esc1900,run,1651,1900,-11267,5,32
10503,10.503,1,angle_n20_esc1900,run,1651,1900,-11263,4,36
10523,10.523,1,angle_n20_esc1900,run,1651,1900,-11258,5,41
10543,10.543,1,angle_n20_esc1900,run,1651,1900,-11251,7,48
10563,10.563,1,angle_n20_esc1900,run,1651,1900,-11235,16,64
10583,10.583,1,angle_n20_esc1900,run,1651,1900,-11210,25,89
