t_ms,t_s,set_index,segment,phase,servo_us,esc_pwm_us,count,count_delta,count_from_start
10005,10.005,1,angle_p20_esc1150,user_wait,1211,1000,8976,0,0
10025,10.025,1,angle_p20_esc1150,user_wait,1211,1000,8976,0,0
10045,10.045,1,angle_p20_esc1150,user_wait,1211,1000,8976,0,0
10065,10.065,1,angle_p20_esc1150,user_wait,1211,1000,8976,0,0
10085,10.085,1,angle_p20_esc1150,user_wait,1211,1000,8976,0,0
10105,10.105,1,angle_p20_esc1150,user_wait,1211,1000,8976,0,0
10125,10.125,1,angle_p20_esc1150,user_wait,1211,1000,8976,0,0
10165,10.165,1,angle_p20_esc1150,user_wait,1211,1000,8976,0,0
10186,10.186,1,angle_p20_esc1150,user_wait,1211,1000,8976,0,0
10206,10.206,1,angle_p20_esc1150,user_wait,1211,1000,8976,0,0
10227,10.227,1,angle_p20_esc1150,run,1211,1150,8976,0,0
10248,10.248,1,angle_p20_esc1150,run,1211,1150,8976,0,0
10268,10.268,1,angle_p20_esc1150,run,1211,1150,8976,0,0
10288,10.288,1,angle_p20_esc1150,run,1211,1150,8976,0,0
10308,10.308,1,angle_p20_esc1150,run,1211,1150,8974,-2,-2
10328,10.328,1,angle_p20_esc1150,run,1211,1150,8975,1,-1
10348,10.348,1,angle_p20_esc1150,run,1211,1150,8974,-1,-2
10368,10.368,1,angle_p20_esc1150,run,1211,1150,8975,1,-1
10388,10.388,1,angle_p20_esc1150,run,1211,1150,8974,-1,-2
10408,10.408,1,angle_p20_esc1150,run,1211,1150,8974,0,-2
10428,10.428,1,angle_p20_esc1150,run,1211,1150,8974,0,-2
10448,10.448,1,angle_p20_esc1150,run,1211,1150,8973,-1,-3
10468,10.468,1,angle_p20_esc1150,run,1211,1150,8973,0,-3
10488,10.488,1,angle_p20_esc1150,run,1211,1150,8973,0,-3
10508,10.508,1,angle_p20_esc1150,run,1211,1150,8973,0,-3
10528,10.528,1,angle_p20_esc1150,run,1211,1150,8971,-2,-5
10548,10.548,1,angle_p20_esc1150,run,1211,1150,8972,1,-4
10568,10.568,1,angle_p20_esc1150,run,1211,1150,8971,-1,-5
10588,10.588,1,angle_p20_esc1150,run,1211,1150,8969,-2,-7
10608,10.608,1,angle_p20_esc1150,run,1211,1150,8970,1,-6
10628,10.628,1,angle_p20_esc1150,run,1211,1150,8969,-1,-7
10648,10.648,1,angle_p20_esc1150,run,1211,1150,8968,-1,-8
10668,10.668,1,angle_p20_esc1150,run,1211,1150,8967,-1,-9
10688,10.688,1,angle_p20_esc1150,run,1211,1150,8966,-1,-10
10708,10.708,1,angle_p20_esc1150,run,1211,1150,8966,0,-10
10728,10.728,1,angle_p20_esc1150,run,1211,1150,8966,0,-10
10748,10.748,1,angle_p20_esc1150,run,1211,1150,8966,0,-10
10768,10.768,1,angle_p20_esc1150,run,1211,1150,8965,-1,-11
10788,10.788,1,angle_p20_esc1150,run,1211,1150,8965,0,-11
10808,10.808,1,angle_p20_esc1150,run,1211,1150,8965,0,-11
10828,10.828,1,angle_p20_esc1150,run,1211,1150,8965,0,-11
10848,10.848,1,angle_p20_esc1150,run,1211,1150,8963,-2,-13
10868,10.868,1,angle_p20_esc1150,run,1211,1150,8963,0,-13
10888,10.888,1,angle_p20_esc1150,run,1211,1150,8962,-1,-14
10908,10.908,1,angle_p20_esc1150,run,1211,1150,8962,0,-14
10928,10.928,1,angle_p20_esc1150,run,1211,1150,8961,-1,-15
10948,10.948,1,angle_p20_esc1150,run,1211,1150,8961,0,-15
10968,10.968,1,angle_p20_esc1150,run,1211,1150,8961,0,-15
10988,10.988,1,angle_p20_esc1150,run,1211,1150,8961,0,-15
11008,11.008,1,angle_p20_esc1150,run,1211,1150,8961,0,-15
11028,11.028,1,angle_p20_esc1150,run,1211,1150,8959,-2,-17
11048,11.048,1,angle_p20_esc1150,run,1211,1150,8959,0,-17
11068,11.068,1,angle_p20_esc1150,run,1211,1150,8959,0,-17
11088,11.088,1,angle_p20_esc1150,run,1211,1150,8958,-1,-18
11108,11.108,1,angle_p20_esc1150,run,1211,1150,8958,0,-18
11128,11.128,1,angle_p20_esc1150,run,1211,1150,8958,0,-18
11148,11.148,1,angle_p20_esc1150,run,1211,1150,8958,0,-18
11168,11.168,1,angle_p20_esc1150,run,1211,1150,8957,-1,-19
11188,11.188,1,angle_p20_esc1150,run,1211,1150,8957,0,-19
11208,11.208,1,angle_p20_esc1150,run,1211,1150,8955,-2,-21
11228,11.228,1,angle_p20_esc1150,run,1211,1150,8955,0,-21
11248,11.248,1,angle_p20_esc1150,run,1211,1150,8955,0,-21
11268,11.268,1,angle_p20_esc1150,run,1211,1150,8955,0,-21
11288,11.288,1,angle_p20_esc1150,run,1211,1150,8955,0,-21
11308,11.308,1,angle_p20_esc1150,run,1211,1150,8954,-1,-22
11328,11.328,1,angle_p20_esc1150,run,1211,1150,8953,-1,-23
11348,11.348,1,angle_p20_esc1150,run,1211,1150,8953,0,-23
11368,11.368,1,angle_p20_esc1150,run,1211,1150,8953,0,-23
11388,11.388,1,angle_p20_esc1150,run,1211,1150,8953,0,-23
11425,11.425,1,angle_p20_esc1150,run,1211,1150,8952,-1,-24
11445,11.445,1,angle_p20_esc1150,run,1211,1150,8951,-1,-25
11465,11.465,1,angle_p20_esc1150,run,1211,1150,8951,0,-25
11485,11.485,1,angle_p20_esc1150,run,1211,1150,8951,0,-25
11505,11.505,1,angle_p20_esc1150,run,1211,1150,8951,0,-25
11525,11.525,1,angle_p20_esc1150,run,1211,1150,8951,0,-25
11545,11.545,1,angle_p20_esc1150,run,1211,1150,8950,-1,-26
11565,11.565,1,angle_p20_esc1150,run,1211,1150,8950,0,-26
11585,11.585,1,angle_p20_esc1150,run,1211,1150,8950,0,-26
11605,11.605,1,angle_p20_esc1150,run,1211,1150,8950,0,-26
11625,11.625,1,angle_p20_esc1150,run,1211,1150,8950,0,-26
11645,11.645,1,angle_p20_esc1150,run,1211,1150,8949,-1,-27
11665,11.665,1,angle_p20_esc1150,run,1211,1150,8948,-1,-28
11685,11.685,1,angle_p20_esc1150,run,1211,1150,8948,0,-28
11705,11.705,1,angle_p20_esc1150,run,1211,1150,8948,0,-28
11725,11.725,1,angle_p20_esc1150,run,1211,1150,8948,0,-28
11745,11.745,1,angle_p20_esc1150,run,1211,1150,8948,0,-28
11765,11.765,1,angle_p20_esc1150,run,1211,1150,8947,-1,-29
11785,11.785,1,angle_p20_esc1150,run,1211,1150,8947,0,-29
11805,11.805,1,angle_p20_esc1150,run,1211,1150,8946,-1,-30
11825,11.825,1,angle_p20_esc1150,run,1211,1150,8947,1,-29
11845,11.845,1,angle_p20_esc1150,run,1211,1150,8947,0,-29
11865,11.865,1,angle_p20_esc1150,run,1211,1150,8946,-1,-30
11885,11.885,1,angle_p20_esc1150,run,1211,1150,8945,-1,-31
11905,11.905,1,angle_p20_esc1150,run,1211,1150,8945,0,-31
11925,11.925,1,angle_p20_esc1150,run,1211,1150,8945,0,-31
11945,11.945,1,angle_p20_esc1150,run,1211,1150,8945,0,-31
11965,11.965,1,angle_p20_esc1150,run,1211,1150,8945,0,-31
11985,11.985,1,angle_p20_esc1150,run,1211,1150,8944,-1,-32
12005,12.005,1,angle_p20_esc1150,run,1211,1150,8944,0,-32
12025,12.025,1,angle_p20_esc1150,run,1211,1150,8944,0,-32
12045,12.045,1,angle_p20_esc1150,run,1211,1150,8944,0,-32
12065,12.065,1,angle_p20_esc1150,run,1211,1150,8944,0,-32
12085,12.085,1,angle_p20_esc1150,run,1211,1150,8943,-1,-33
12105,12.105,1,angle_p20_esc1150,run,1211,1150,8943,0,-33
12125,12.125,1,angle_p20_esc1150,run,1211,1150,8943,0,-33
12146,12.146,1,angle_p20_esc1150,run,1211,1150,8943,0,-33
12166,12.166,1,angle_p20_esc1150,run,1211,1150,8943,0,-33
12186,12.186,1,angle_p20_esc1150,run,1211,1150,8942,-1,-34
12206,12.206,1,angle_p20_esc1150,run,1211,1150,8942,0,-34
12226,12.226,1,angle_p20_esc1150,run,1211,1150,8943,1,-33
12246,12.246,1,angle_p20_esc1150,run,1211,1150,8941,-2,-35
12266,12.266,1,angle_p20_esc1150,run,1211,1150,8942,1,-34
12286,12.286,1,angle_p20_esc1150,run,1211,1150,8941,-1,-35
12306,12.306,1,angle_p20_esc1150,run,1211,1150,8941,0,-35
12326,12.326,1,angle_p20_esc1150,run,1211,1150,8942,1,-34
12346,12.346,1,angle_p20_esc1150,run,1211,1150,8941,-1,-35
12366,12.366,1,angle_p20_esc1150,run,1211,1150,8941,0,-35
12386,12.386,1,angle_p20_esc1150,run,1211,1150,8941,0,-35
12406,12.406,1,angle_p20_esc1150,run,1211,1150,8940,-1,-36
12426,12.426,1,angle_p20_esc1150,run,1211,1150,8941,1,-35
12446,12.446,1,angle_p20_esc1150,run,1211,1150,8941,0,-35
12466,12.466,1,angle_p20_esc1150,run,1211,1150,8939,-2,-37
12486,12.486,1,angle_p20_esc1150,run,1211,1150,8940,1,-36
12507,12.507,1,angle_p20_esc1150,run,1211,1150,8939,-1,-37
12527,12.527,1,angle_p20_esc1150,run,1211,1150,8940,1,-36
12547,12.547,1,angle_p20_esc1150,run,1211,1150,8940,0,-36
12567,12.567,1,angle_p20_esc1150,run,1211,1150,8939,-1,-37
12587,12.587,1,angle_p20_esc1150,run,1211,1150,8939,0,-37
12607,12.607,1,angle_p20_esc1150,run,1211,1150,8938,-1,-38
12627,12.627,1,angle_p20_esc1150,run,1211,1150,8939,1,-37
12647,12.647,1,angle_p20_esc1150,run,1211,1150,8939,0,-37
12667,12.667,1,angle_p20_esc1150,run,1211,1150,8938,-1,-38
12687,12.687,1,angle_p20_esc1150,run,1211,1150,8938,0,-38
12707,12.707,1,angle_p20_esc1150,run,1211,1150,8938,0,-38
12727,12.727,1,angle_p20_esc1150,run,1211,1150,8938,0,-38
12747,12.747,1,angle_p20_esc1150,run,1211,1150,8938,0,-38
12767,12.767,1,angle_p20_esc1150,run,1211,1150,8937,-1,-39
12787,12.787,1,angle_p20_esc1150,run,1211,1150,8937,0,-39
12807,12.807,1,angle_p20_esc1150,run,1211,1150,8937,0,-39
12840,12.840,1,angle_p20_esc1150,run,1211,1150,8936,-1,-40
12860,12.860,1,angle_p20_esc1150,run,1211,1150,8936,0,-40
