t_ms,t_s,sweep_idx,direction,servo_us,count,count_delta_from_start,expected_deg_from_command,estimated_counts_per_rev
307,0.307,1,up,450,0,0,0.000,0.000
612,0.612,1,up,475,-8,-8,2.250,1280.000
918,0.918,1,up,500,-22,-22,4.500,1760.000
1224,1.224,1,up,525,-38,-38,6.750,2026.667
1531,1.531,1,up,550,-51,-51,9.000,2040.000
1837,1.837,1,up,575,-69,-69,11.250,2208.000
2228,2.228,1,up,600,-82,-82,13.500,2186.666
2536,2.536,1,up,625,-98,-98,15.750,2240.000
2843,2.843,1,up,650,-116,-116,18.000,2320.000
3150,3.150,1,up,675,-128,-128,20.250,2275.556
3495,3.495,1,up,700,-139,-139,22.500,2224.000
3918,3.918,1,up,725,-155,-155,24.750,2254.546
4256,4.256,1,up,750,-169,-169,27.000,2253.333
4597,4.597,1,up,775,-182,-182,29.250,2240.000
4937,4.937,1,up,800,-196,-196,31.500,2240.000
5279,5.279,1,up,825,-213,-213,33.750,2272.000
5620,5.620,1,up,850,-222,-222,36.000,2220.000
5961,5.961,1,up,875,-240,-240,38.250,2258.824
6301,6.301,1,up,900,-252,-252,40.500,2240.000
6641,6.641,1,up,925,-264,-264,42.750,2223.158
6987,6.987,1,up,950,-276,-276,45.000,2208.000
7423,7.423,1,up,975,-297,-297,47.250,2262.857
7768,7.768,1,up,1000,-308,-308,49.500,2240.000
8118,8.118,1,up,1025,-324,-324,51.750,2253.913
8463,8.463,1,up,1050,-342,-342,54.000,2280.000
8804,8.804,1,up,1075,-351,-351,56.250,2246.400
9148,9.148,1,up,1100,-373,-373,58.500,2295.385
9493,9.493,1,up,1125,-392,-392,60.750,2322.963
9839,9.839,1,up,1150,-403,-403,63.000,2302.857
10185,10.185,1,up,1175,-419,-419,65.250,2311.724
10528,10.528,1,up,1200,-437,-437,67.500,2330.667
10966,10.966,1,up,1225,-449,-449,69.750,2317.420
11310,11.310,1,up,1250,-464,-464,72.000,2320.000
11655,11.655,1,up,1275,-478,-478,74.250,2317.576
12002,12.002,1,up,1300,-493,-493,76.500,2320.000
12350,12.350,1,up,1325,-509,-509,78.750,2326.857
12697,12.697,1,up,1350,-527,-527,81.000,2342.222
13042,13.042,1,up,1375,-542,-542,83.250,2343.784
13388,13.388,1,up,1400,-560,-560,85.500,2357.895
13734,13.734,1,up,1425,-573,-573,87.750,2350.769
14083,14.083,1,up,1450,-584,-584,90.000,2336.000
14527,14.527,1,up,1475,-601,-601,92.250,2345.366
14879,14.879,1,up,1500,-619,-619,94.500,2358.096
15230,15.230,1,up,1525,-630,-630,96.750,2344.186
15577,15.577,1,up,1550,-645,-645,99.000,2345.454
15927,15.927,1,up,1575,-658,-658,101.250,2339.556
16279,16.279,1,up,1600,-675,-675,103.500,2347.826
16628,16.628,1,up,1625,-694,-694,105.750,2362.553
16979,16.979,1,up,1650,-709,-709,108.000,2363.333
17328,17.328,1,up,1675,-729,-729,110.250,2380.408
17677,17.677,1,up,1700,-741,-741,112.500,2371.200
18128,18.128,1,up,1725,-757,-757,114.750,2374.902
18480,18.480,1,up,1750,-777,-777,117.000,2390.769
18833,18.833,1,up,1775,-794,-794,119.250,2396.981
19188,19.188,1,up,1800,-806,-806,121.500,2388.148
19538,19.538,1,up,1825,-826,-826,123.750,2402.909
19889,19.889,1,up,1850,-844,-844,126.000,2411.429
20237,20.237,1,up,1875,-855,-855,128.250,2400.000
20589,20.589,1,up,1900,-874,-874,130.500,2411.034
20943,20.943,1,up,1925,-890,-890,132.750,2413.559
21303,21.303,1,up,1950,-906,-906,135.000,2416.000
21748,21.748,1,up,1975,-921,-921,137.250,2415.738
22099,22.099,1,up,2000,-937,-937,139.500,2418.065
22452,22.452,1,up,2025,-948,-948,141.750,2407.619
22806,22.806,1,up,2050,-968,-968,144.000,2420.000
23162,23.162,1,up,2075,-980,-980,146.250,2412.308
23518,23.518,1,up,2100,-988,-988,148.500,2395.152
23877,23.877,1,up,2125,-1006,-1006,150.750,2402.388
24235,24.235,1,up,2150,-1022,-1022,153.000,2404.706
24593,24.593,1,up,2175,-1035,-1035,155.250,2400.000
24947,24.947,1,up,2200,-1049,-1049,157.500,2397.714
25400,25.400,1,up,2225,-1067,-1067,159.750,2404.507
25754,25.754,1,up,2250,-1080,-1080,162.000,2400.000
26109,26.109,1,up,2275,-1097,-1097,164.250,2404.384
26467,26.467,1,up,2300,-1115,-1115,166.500,2410.811
26827,26.827,1,up,2325,-1126,-1126,168.750,2402.133
27189,27.189,1,up,2350,-1143,-1143,171.000,2406.316
27550,27.550,1,up,2375,-1158,-1158,173.250,2406.234
27909,27.909,1,up,2400,-1174,-1174,175.500,2408.205
28266,28.266,1,up,2425,-1189,-1189,177.750,2408.101
28623,28.623,1,up,2450,-1207,-1207,180.000,2414.000
29770,29.770,1,up_endpoint_settled,2450,-1207,-1207,180.000,2414.000
30162,30.162,1,down,2450,-1207,-1207,180.000,2414.000
30507,30.507,1,down,2425,-1196,-1196,177.750,2422.278
30846,30.846,1,down,2400,-1179,-1179,175.500,2418.462
31182,31.182,1,down,2375,-1160,-1160,173.250,2410.390
31518,31.518,1,down,2350,-1150,-1150,171.000,2421.053
31857,31.857,1,down,2325,-1134,-1134,168.750,2419.200
32193,32.193,1,down,2300,-1117,-1117,166.500,2415.135
32536,32.536,1,down,2275,-1103,-1103,164.250,2417.534
32877,32.877,1,down,2250,-1088,-1088,162.000,2417.778
33319,33.319,1,down,2225,-1072,-1072,159.750,2415.775
33659,33.659,1,down,2200,-1060,-1060,157.500,2422.857
33996,33.996,1,down,2175,-1043,-1043,155.250,2418.551
34336,34.336,1,down,2150,-1028,-1028,153.000,2418.824
34677,34.677,1,down,2125,-1014,-1014,150.750,2421.493
35017,35.017,1,down,2100,-998,-998,148.500,2419.394
35361,35.361,1,down,2075,-984,-984,146.250,2422.154
35704,35.704,1,down,2050,-974,-974,144.000,2435.000
36054,36.054,1,down,2025,-958,-958,141.750,2433.016
36400,36.400,1,down,2000,-945,-945,139.500,2438.710
36832,36.832,1,down,1975,-931,-931,137.250,2441.967
37174,37.174,1,down,1950,-915,-915,135.000,2440.000
37517,37.517,1,down,1925,-900,-900,132.750,2440.678
37860,37.860,1,down,1900,-885,-885,130.500,2441.379
38206,38.206,1,down,1875,-868,-868,128.250,2436.491
38552,38.552,1,down,1850,-854,-854,126.000,2440.000
38897,38.897,1,down,1825,-839,-839,123.750,2440.727
39246,39.246,1,down,1800,-823,-823,121.500,2438.518
39589,39.589,1,down,1775,-808,-808,119.250,2439.245
39934,39.934,1,down,1750,-792,-792,117.000,2436.923
40380,40.380,1,down,1725,-773,-773,114.750,2425.098
40725,40.725,1,down,1700,-760,-760,112.500,2432.000
41077,41.077,1,down,1675,-745,-745,110.250,2432.653
41426,41.426,1,down,1650,-728,-728,108.000,2426.666
41774,41.774,1,down,1625,-712,-712,105.750,2423.830
42120,42.120,1,down,1600,-696,-696,103.500,2420.870
42467,42.467,1,down,1575,-678,-678,101.250,2410.667
42813,42.813,1,down,1550,-664,-664,99.000,2414.546
43166,43.166,1,down,1525,-650,-650,96.750,2418.604
43516,43.516,1,down,1500,-636,-636,94.500,2422.857
43960,43.960,1,down,1475,-623,-623,92.250,2431.220
44308,44.308,1,down,1450,-605,-605,90.000,2420.000
44655,44.655,1,down,1425,-592,-592,87.750,2428.718
45002,45.002,1,down,1400,-582,-582,85.500,2450.526
45349,45.349,1,down,1375,-566,-566,83.250,2447.568
45705,45.705,1,down,1350,-549,-549,81.000,2440.000
46056,46.056,1,down,1325,-532,-532,78.750,2432.000
46403,46.403,1,down,1300,-516,-516,76.500,2428.235
46750,46.750,1,down,1275,-500,-500,74.250,2424.242
47098,47.098,1,down,1250,-485,-485,72.000,2425.000
47547,47.547,1,down,1225,-470,-470,69.750,2425.807
47906,47.906,1,down,1200,-453,-453,67.500,2416.000
48258,48.258,1,down,1175,-441,-441,65.250,2433.103
48610,48.610,1,down,1150,-425,-425,63.000,2428.572
48962,48.962,1,down,1125,-408,-408,60.750,2417.778
49311,49.311,1,down,1100,-393,-393,58.500,2418.462
49660,49.660,1,down,1075,-377,-377,56.250,2412.800
50009,50.009,1,down,1050,-359,-359,54.000,2393.333
50364,50.364,1,down,1025,-346,-346,51.750,2406.956
50717,50.717,1,down,1000,-327,-327,49.500,2378.182
51165,51.165,1,down,975,-312,-312,47.250,2377.143
51520,51.520,1,down,950,-297,-297,45.000,2376.000
51872,51.872,1,down,925,-281,-281,42.750,2366.316
52224,52.224,1,down,900,-265,-265,40.500,2355.556
52576,52.576,1,down,875,-255,-255,38.250,2400.000
52932,52.932,1,down,850,-240,-240,36.000,2400.000
53291,53.291,1,down,825,-226,-226,33.750,2410.667
53655,53.655,1,down,800,-212,-212,31.500,2422.857
54011,54.011,1,down,775,-197,-197,29.250,2424.616
54367,54.367,1,down,750,-182,-182,27.000,2426.666
54820,54.820,1,down,725,-168,-168,24.750,2443.636
55175,55.175,1,down,700,-150,-150,22.500,2400.000
55530,55.530,1,down,675,-135,-135,20.250,2400.000
55891,55.891,1,down,650,-124,-124,18.000,2480.000
56251,56.251,1,down,625,-105,-105,15.750,2400.000
56613,56.613,1,down,600,-88,-88,13.500,2346.666
56973,56.973,1,down,575,-77,-77,11.250,2464.000
57332,57.332,1,down,550,-58,-58,9.000,2320.000
57687,57.687,1,down,525,-45,-45,6.750,2400.000
58043,58.043,1,down,500,-30,-30,4.500,2400.000
58499,58.499,1,down,475,-14,-14,2.250,2240.000
58897,58.897,1,down,450,-1,-1,0.000,0.000
59931,59.931,1,down_endpoint_settled,450,-1,-1,0.000,0.000
60267,60.267,2,up,450,-1,-1,0.000,0.000
60601,60.601,2,up,475,-8,-8,2.250,1280.000
60938,60.938,2,up,500,-22,-22,4.500,1760.000
61278,61.278,2,up,525,-38,-38,6.750,2026.667
61625,61.625,2,up,550,-51,-51,9.000,2040.000
61969,61.969,2,up,575,-69,-69,11.250,2208.000
62308,62.308,2,up,600,-82,-82,13.500,2186.666
62746,62.746,2,up,625,-98,-98,15.750,2240.000
63083,63.083,2,up,650,-117,-117,18.000,2340.000
63420,63.420,2,up,675,-128,-128,20.250,2275.556
63760,63.760,2,up,700,-138,-138,22.500,2208.000
64101,64.101,2,up,725,-154,-154,24.750,2240.000
64443,64.443,2,up,750,-169,-169,27.000,2253.333
64784,64.784,2,up,775,-180,-180,29.250,2215.385
65130,65.130,2,up,800,-197,-197,31.500,2251.429
65469,65.469,2,up,825,-213,-213,33.750,2272.000
65811,65.811,2,up,850,-223,-223,36.000,2230.000
66245,66.245,2,up,875,-240,-240,38.250,2258.824
66585,66.585,2,up,900,-252,-252,40.500,2240.000
66931,66.931,2,up,925,-263,-263,42.750,2214.737
67273,67.273,2,up,950,-277,-277,45.000,2216.000
67616,67.616,2,up,975,-296,-296,47.250,2255.238
67961,67.961,2,up,1000,-308,-308,49.500,2240.000
68303,68.303,2,up,1025,-325,-325,51.750,2260.870
68646,68.646,2,up,1050,-341,-341,54.000,2273.333
68989,68.989,2,up,1075,-352,-352,56.250,2252.800
69332,69.332,2,up,1100,-373,-373,58.500,2295.385
69780,69.780,2,up,1125,-392,-392,60.750,2322.963
70126,70.126,2,up,1150,-403,-403,63.000,2302.857
70473,70.473,2,up,1175,-419,-419,65.250,2311.724
70817,70.817,2,up,1200,-437,-437,67.500,2330.667
71159,71.159,2,up,1225,-449,-449,69.750,2317.420
71506,71.506,2,up,1250,-464,-464,72.000,2320.000
71853,71.853,2,up,1275,-481,-481,74.250,2332.121
72201,72.201,2,up,1300,-493,-493,76.500,2320.000
72551,72.551,2,up,1325,-509,-509,78.750,2326.857
72908,72.908,2,up,1350,-527,-527,81.000,2342.222
73354,73.354,2,up,1375,-543,-543,83.250,2348.108
73700,73.700,2,up,1400,-560,-560,85.500,2357.895
74045,74.045,2,up,1425,-573,-573,87.750,2350.769
