t_ms,t_s,sweep_idx,direction,servo_us,count,count_zero,count_delta,theta_deg,theta_rad,segment
4,0.004,0,center,1450,0,0,0,0.000000,0.00000000,baseline_center
258,0.258,0,center,1450,0,0,0,0.000000,0.00000000,baseline_center
512,0.512,0,center,1450,0,0,0,0.000000,0.00000000,baseline_center
766,0.766,0,center,1450,0,0,0,0.000000,0.00000000,baseline_center
2771,2.771,1,up,450,586,0,586,87.900000,1.53414450,sweep
3120,3.120,1,up,475,581,0,581,87.149992,1.52105440,sweep
3378,3.378,1,up,500,565,0,565,84.750000,1.47916660,sweep
3680,3.680,1,up,525,550,0,550,82.500000,1.43989670,sweep
3971,3.971,1,up,550,536,0,536,80.400000,1.40324470,sweep
4262,4.262,1,up,575,518,0,518,77.700008,1.35612080,sweep
4553,4.553,1,up,600,505,0,505,75.750000,1.32208690,sweep
4841,4.841,1,up,625,489,0,489,73.350000,1.28019900,sweep
5127,5.127,1,up,650,470,0,470,70.500000,1.23045720,sweep
5509,5.509,1,up,675,458,0,458,68.700000,1.19904120,sweep
5803,5.803,1,up,700,448,0,448,67.200000,1.17286130,sweep
6096,6.096,1,up,725,432,0,432,64.800000,1.13097340,sweep
6391,6.391,1,up,750,417,0,417,62.550000,1.09170340,sweep
6683,6.683,1,up,775,406,0,406,60.900000,1.06290560,sweep
6975,6.975,1,up,800,390,0,390,58.499996,1.02101760,sweep
7268,7.268,1,up,825,373,0,373,55.950000,0.97651180,sweep
7560,7.560,1,up,850,363,0,363,54.450000,0.95033180,sweep
7855,7.855,1,up,875,347,0,347,52.050000,0.90844384,sweep
8154,8.154,1,up,900,334,0,334,50.100004,0.87441000,sweep
8556,8.556,1,up,925,324,0,324,48.600004,0.84823008,sweep
8851,8.851,1,up,950,310,0,310,46.500000,0.81157810,sweep
9145,9.145,1,up,975,291,0,291,43.650000,0.76183630,sweep
9439,9.439,1,up,1000,278,0,278,41.700000,0.72780232,sweep
9734,9.734,1,up,1025,263,0,263,39.450000,0.68853240,sweep
10034,10.034,1,up,1050,246,0,246,36.900000,0.64402650,sweep
10334,10.334,1,up,1075,236,0,236,35.400000,0.61784660,sweep
10633,10.633,1,up,1100,213,0,213,31.949998,0.55763270,sweep
10935,10.935,1,up,1125,196,0,196,29.400000,0.51312680,sweep
11231,11.231,1,up,1150,185,0,185,27.750000,0.48432890,sweep
11623,11.623,1,up,1175,168,0,168,25.200000,0.43982296,sweep
11921,11.921,1,up,1200,151,0,151,22.650000,0.39531708,sweep
12220,12.220,1,up,1225,139,0,139,20.850000,0.36390116,sweep
12526,12.526,1,up,1250,123,0,123,18.450000,0.32201326,sweep
12829,12.829,1,up,1275,108,0,108,16.200000,0.28274336,sweep
13128,13.128,1,up,1300,93,0,93,13.950000,0.24347344,sweep
13429,13.429,1,up,1325,79,0,79,11.849999,0.20682152,sweep
13728,13.728,1,up,1350,58,0,58,8.700000,0.15184365,sweep
14029,14.029,1,up,1375,47,0,47,7.050000,0.12304571,sweep
14332,14.332,1,up,1400,28,0,28,4.200000,0.07330383,sweep
14750,14.750,1,up,1425,14,0,14,2.100000,0.03665192,sweep
15057,15.057,1,up,1450,3,0,3,0.450000,0.00785398,sweep
15360,15.360,1,up,1475,-14,0,-14,-2.100000,-0.03665192,sweep
15663,15.663,1,up,1500,-29,0,-29,-4.350000,-0.07592182,sweep
15964,15.964,1,up,1525,-41,0,-41,-6.150000,-0.10733776,sweep
16265,16.265,1,up,1550,-56,0,-56,-8.400000,-0.14660766,sweep
16570,16.570,1,up,1575,-70,0,-70,-10.500000,-0.18325958,sweep
16878,16.878,1,up,1600,-87,0,-87,-13.049999,-0.22776548,sweep
17186,17.186,1,up,1625,-104,0,-104,-15.599999,-0.27227136,sweep
