t_ms,t_s,run_name,segment,pwm_us,raw_count,tared_count,force_N,phase
65,0.065,global_1100_1950,baseline_pre,1525,-119509.000,-18.023,-0.000426,baseline_pre
156,0.156,global_1100_1950,baseline_pre,1525,-119524.000,-33.023,-0.000780,baseline_pre
248,0.248,global_1100_1950,baseline_pre,1525,-117865.000,1625.977,0.038422,baseline_pre
340,0.340,global_1100_1950,baseline_pre,1525,-106555.000,12935.977,0.305677,baseline_pre
432,0.432,global_1100_1950,baseline_pre,1525,-86272.000,33218.976,0.784965,baseline_pre
524,0.524,global_1100_1950,baseline_pre,1525,-63710.000,55780.976,1.318106,baseline_pre
616,0.616,global_1100_1950,baseline_pre,1525,-51662.000,67828.980,1.602801,baseline_pre
707,0.707,global_1100_1950,baseline_pre,1525,-47470.000,72020.980,1.701858,baseline_pre
800,0.800,global_1100_1950,baseline_pre,1525,-45970.000,73520.980,1.737303,baseline_pre
891,0.891,global_1100_1950,baseline_pre,1525,-45221.000,74269.980,1.755002,baseline_pre
984,0.984,global_1100_1950,baseline_pre,1525,-45160.000,74330.980,1.756443,baseline_pre
1075,1.075,global_1100_1950,baseline_pre,1525,-45031.000,74459.980,1.759491,baseline_pre
1167,1.167,global_1100_1950,baseline_pre,1525,-45116.000,74374.980,1.757483,baseline_pre
1259,1.259,global_1100_1950,baseline_pre,1525,-45546.000,73944.980,1.747322,baseline_pre
1351,1.351,global_1100_1950,baseline_pre,1525,-46193.000,73297.980,1.732033,baseline_pre
1443,1.443,global_1100_1950,baseline_pre,1525,-46153.000,73337.980,1.732978,baseline_pre
1534,1.534,global_1100_1950,baseline_pre,1525,-45748.000,73742.980,1.742549,baseline_pre
1627,1.627,global_1100_1950,baseline_pre,1525,-45705.000,73785.980,1.743565,baseline_pre
1718,1.718,global_1100_1950,baseline_pre,1525,-46304.000,73186.980,1.729410,baseline_pre
1811,1.811,global_1100_1950,baseline_pre,1525,-46686.000,72804.980,1.720384,baseline_pre
1902,1.902,global_1100_1950,baseline_pre,1525,-46333.000,73157.980,1.728725,baseline_pre
1995,1.995,global_1100_1950,baseline_pre,1525,-46251.000,73239.980,1.730663,baseline_pre
2086,2.086,global_1100_1950,baseline_pre,1525,-46014.000,73476.980,1.736263,baseline_pre
2178,2.178,global_1100_1950,baseline_pre,1525,-45346.000,74144.980,1.752048,baseline_pre
2270,2.270,global_1100_1950,baseline_pre,1525,-44723.000,74767.980,1.766769,baseline_pre
2362,2.362,global_1100_1950,baseline_pre,1525,-44867.000,74623.980,1.763367,baseline_pre
2453,2.453,global_1100_1950,baseline_pre,1525,-45005.000,74485.980,1.760106,baseline_pre
2546,2.546,global_1100_1950,baseline_pre,1525,-44871.000,74619.980,1.763272,baseline_pre
