t_ms,t_s,run_name,segment,pwm_us,raw_count,tared_count,force_N,phase
22,0.022,global_1100_1950,baseline_pre,1525,-121518.000,-25.508,-0.000603,baseline_pre
114,0.114,global_1100_1950,baseline_pre,1525,-121518.000,-25.508,-0.000603,baseline_pre
205,0.205,global_1100_1950,baseline_pre,1525,-121309.000,183.492,0.004336,baseline_pre
297,0.297,global_1100_1950,baseline_pre,1525,-115449.000,6043.492,0.142808,baseline_pre
389,0.389,global_1100_1950,baseline_pre,1525,-96377.000,25115.492,0.593480,baseline_pre
481,0.481,global_1100_1950,baseline_pre,1525,-72553.000,48939.492,1.156442,baseline_pre
573,0.573,global_1100_1950,baseline_pre,1525,-58948.000,62544.492,1.477928,baseline_pre
665,0.665,global_1100_1950,baseline_pre,1525,-53899.000,67593.490,1.597236,baseline_pre
757,0.757,global_1100_1950,baseline_pre,1525,-51875.000,69617.490,1.645063,baseline_pre
849,0.849,global_1100_1950,baseline_pre,1525,-51028.000,70464.490,1.665078,baseline_pre
940,0.940,global_1100_1950,baseline_pre,1525,-50760.000,70732.490,1.671411,baseline_pre
1032,1.032,global_1100_1950,baseline_pre,1525,-50735.000,70757.490,1.672002,baseline_pre
1124,1.124,global_1100_1950,baseline_pre,1525,-50777.000,70715.490,1.671009,baseline_pre
1217,1.217,global_1100_1950,baseline_pre,1525,-50448.000,71044.490,1.678783,baseline_pre
1308,1.308,global_1100_1950,baseline_pre,1525,-50173.000,71319.490,1.685282,baseline_pre
1401,1.401,global_1100_1950,baseline_pre,1525,-49856.000,71636.490,1.692772,baseline_pre
1492,1.492,global_1100_1950,baseline_pre,1525,-50070.000,71422.490,1.687715,baseline_pre
1584,1.584,global_1100_1950,baseline_pre,1525,-50225.000,71267.490,1.684053,baseline_pre
1676,1.676,global_1100_1950,baseline_pre,1525,-50034.000,71458.490,1.688566,baseline_pre
1768,1.768,global_1100_1950,baseline_pre,1525,-50161.000,71331.490,1.685565,baseline_pre
1860,1.860,global_1100_1950,baseline_pre,1525,-50367.000,71125.490,1.680697,baseline_pre
1951,1.951,global_1100_1950,baseline_pre,1525,-50468.000,71024.490,1.678311,baseline_pre
2044,2.044,global_1100_1950,baseline_pre,1525,-50641.000,70851.490,1.674223,baseline_pre
2135,2.135,global_1100_1950,baseline_pre,1525,-50715.000,70777.490,1.672474,baseline_pre
