t_ms,t_s,run_name,segment,pwm_us,raw_count,tared_count,force_N,battery_voltage_V,battery_current_A,battery_remaining_pct,battery_age_ms,mavlink_total_packets,mavlink_sys_status_packets,mavlink_bad_frames,phase
66,0.066,global_1100_1950,baseline_pre,1525,-120895.000,-23.711,-0.000560,12.158,,-1,61,27,3,0,baseline_pre
158,0.158,global_1100_1950,baseline_pre,1525,-120850.000,21.289,0.000503,12.158,,-1,153,27,3,0,baseline_pre
250,0.250,global_1100_1950,baseline_pre,1525,-119148.000,1723.289,0.040721,12.158,,-1,245,27,3,0,baseline_pre
342,0.342,global_1100_1950,baseline_pre,1525,-108777.000,12094.289,0.285788,12.158,,-1,337,27,3,0,baseline_pre
435,0.435,global_1100_1950,baseline_pre,1525,-96410.000,24461.290,0.578021,12.158,,-1,430,28,3,1,baseline_pre
530,0.530,global_1100_1950,baseline_pre,1525,-83208.000,37663.290,0.889985,11.829,,-1,1,36,4,1,baseline_pre
618,0.618,global_1100_1950,baseline_pre,1525,-64198.000,56673.290,1.339191,11.829,,-1,89,38,4,1,baseline_pre
710,0.710,global_1100_1950,baseline_pre,1525,-52811.000,68060.290,1.608266,11.829,,-1,181,38,4,1,baseline_pre
802,0.802,global_1100_1950,baseline_pre,1525,-48887.000,71984.290,1.700991,11.829,,-1,273,38,4,1,baseline_pre
894,0.894,global_1100_1950,baseline_pre,1525,-48586.000,72285.290,1.708103,11.829,,-1,365,38,4,1,baseline_pre
986,0.986,global_1100_1950,baseline_pre,1525,-48472.000,72399.290,1.710797,11.829,,-1,457,38,4,1,baseline_pre
1080,1.080,global_1100_1950,baseline_pre,1525,-48131.000,72740.290,1.718855,11.829,,-1,551,45,4,1,baseline_pre
1170,1.170,global_1100_1950,baseline_pre,1525,-48037.000,72834.290,1.721076,11.829,,-1,641,45,4,1,baseline_pre
1262,1.262,global_1100_1950,baseline_pre,1525,-48338.000,72533.290,1.713964,11.829,,-1,733,45,4,1,baseline_pre
1355,1.355,global_1100_1950,baseline_pre,1525,-48337.000,72534.290,1.713987,11.829,,-1,826,45,4,1,baseline_pre
1447,1.447,global_1100_1950,baseline_pre,1525,-48169.000,72702.290,1.717957,11.829,,-1,917,46,4,1,baseline_pre
1542,1.542,global_1100_1950,baseline_pre,1525,-48144.000,72727.290,1.718548,11.93,,-1,1,54,5,1,baseline_pre
1631,1.631,global_1100_1950,baseline_pre,1525,-47898.000,72973.290,1.724361,11.93,,-1,90,56,5,1,baseline_pre
1722,1.722,global_1100_1950,baseline_pre,1525,-47973.000,72898.290,1.722589,11.93,,-1,181,56,5,1,baseline_pre
1814,1.814,global_1100_1950,baseline_pre,1525,-48153.000,72718.290,1.718335,11.93,,-1,273,56,5,1,baseline_pre
1906,1.906,global_1100_1950,baseline_pre,1525,-48039.000,72832.290,1.721029,11.93,,-1,365,56,5,1,baseline_pre
2000,2.000,global_1100_1950,baseline_pre,1525,-47881.000,72990.290,1.724763,11.93,,-1,459,59,5,1,baseline_pre
2091,2.091,global_1100_1950,baseline_pre,1525,-47882.000,72989.290,1.724739,11.93,,-1,549,62,5,1,baseline_pre
2182,2.182,global_1100_1950,baseline_pre,1525,-48006.000,72865.290,1.721809,11.93,,-1,641,62,5,1,baseline_pre
2275,2.275,global_1100_1950,baseline_pre,1525,-48147.000,72724.290,1.718477,11.93,,-1,734,62,5,1,baseline_pre
2367,2.367,global_1100_1950,baseline_pre,1525,-48086.000,72785.290,1.719918,11.93,,-1,826,62,5,1,baseline_pre
2459,2.459,global_1100_1950,baseline_pre,1525,-48366.000,72505.290,1.713302,11.93,,-1,918,63,5,1,baseline_pre
