t_ms,t_s,set_index,prbs_seed,run_order_seed,run_name,segment,pwm_us,raw_count,tared_count,force_N,battery_voltage_V,battery_current_A,battery_remaining_pct,battery_age_ms,mavlink_total_packets,mavlink_sys_status_packets,mavlink_bad_frames,phase
9,0.009,4,1004,51004,global_1100_1950,baseline_pre,1525,-120431.000,-96.203,-0.002273,11.267,,-1,62,10911,924,60,baseline_pre
101,0.101,4,1004,51004,global_1100_1950,baseline_pre,1525,-120456.000,-121.203,-0.002864,11.267,,-1,154,10911,924,60,baseline_pre
196,0.196,4,1004,51004,global_1100_1950,baseline_pre,1525,-120428.000,-93.203,-0.002202,11.267,,-1,249,10915,924,60,baseline_pre
285,0.285,4,1004,51004,global_1100_1950,baseline_pre,1525,-117622.000,2712.797,0.064103,11.236,,-1,42,10918,925,60,baseline_pre
377,0.377,4,1004,51004,global_1100_1950,baseline_pre,1525,-107290.000,13044.797,0.308249,11.236,,-1,134,10918,925,60,baseline_pre
469,0.469,4,1004,51004,global_1100_1950,baseline_pre,1525,-97989.000,22345.796,0.528032,11.236,,-1,225,10918,925,60,baseline_pre
561,0.561,4,1004,51004,global_1100_1950,baseline_pre,1525,-87267.000,33067.796,0.781393,11.236,,-1,317,10918,925,60,baseline_pre
653,0.653,4,1004,51004,global_1100_1950,baseline_pre,1525,-70872.000,49462.796,1.168807,11.236,,-1,409,10918,925,60,baseline_pre
748,0.748,4,1004,51004,global_1100_1950,baseline_pre,1525,-60749.000,59585.796,1.408014,11.236,,-1,504,10924,925,60,baseline_pre
836,0.836,4,1004,51004,global_1100_1950,baseline_pre,1525,-57245.000,63089.796,1.490814,11.236,,-1,593,10924,925,60,baseline_pre
928,0.928,4,1004,51004,global_1100_1950,baseline_pre,1525,-55856.000,64478.796,1.523636,11.236,,-1,685,10924,925,60,baseline_pre
1020,1.020,4,1004,51004,global_1100_1950,baseline_pre,1525,-54955.000,65379.796,1.544926,11.236,,-1,777,10924,925,60,baseline_pre
1112,1.112,4,1004,51004,global_1100_1950,baseline_pre,1525,-54776.000,65558.800,1.549156,11.236,,-1,869,10924,925,60,baseline_pre
1209,1.209,4,1004,51004,global_1100_1950,baseline_pre,1525,-54679.000,65655.800,1.551448,11.143,,-1,1,10933,926,60,baseline_pre
1297,1.297,4,1004,51004,global_1100_1950,baseline_pre,1525,-54238.000,66096.800,1.561869,11.143,,-1,89,10935,926,61,baseline_pre
1389,1.389,4,1004,51004,global_1100_1950,baseline_pre,1525,-54413.000,65921.800,1.557734,11.143,,-1,181,10935,926,61,baseline_pre
1480,1.480,4,1004,51004,global_1100_1950,baseline_pre,1525,-54710.000,65624.800,1.550716,11.143,,-1,272,10935,926,61,baseline_pre
1572,1.572,4,1004,51004,global_1100_1950,baseline_pre,1525,-54677.000,65657.800,1.551496,11.143,,-1,364,10935,926,61,baseline_pre
1664,1.664,4,1004,51004,global_1100_1950,baseline_pre,1525,-54906.000,65428.796,1.546084,11.143,,-1,456,10935,926,61,baseline_pre
1760,1.760,4,1004,51004,global_1100_1950,baseline_pre,1525,-54946.000,65388.796,1.545139,11.136,,-1,2,10941,927,61,baseline_pre
1849,1.849,4,1004,51004,global_1100_1950,baseline_pre,1525,-55249.000,65085.796,1.537979,11.136,,-1,91,10941,927,61,baseline_pre
1941,1.941,4,1004,51004,global_1100_1950,baseline_pre,1525,-55511.000,64823.796,1.531788,11.136,,-1,183,10941,927,61,baseline_pre
2032,2.032,4,1004,51004,global_1100_1950,baseline_pre,1525,-55148.000,65186.796,1.540366,11.136,,-1,274,10941,927,61,baseline_pre
2125,2.125,4,1004,51004,global_1100_1950,baseline_pre,1525,-54980.000,65354.796,1.544336,11.136,,-1,367,10942,927,61,baseline_pre
2220,2.220,4,1004,51004,global_1100_1950,baseline_pre,1525,-55145.000,65189.796,1.540437,11.139,,-1,1,10950,928,61,baseline_pre
2308,2.308,4,1004,51004,global_1100_1950,baseline_pre,1525,-55456.000,64878.796,1.533088,11.139,,-1,89,10952,928,61,baseline_pre
2400,2.400,4,1004,51004,global_1100_1950,baseline_pre,1525,-55227.000,65107.796,1.538499,11.139,,-1,181,10952,928,61,baseline_pre
2492,2.492,4,1004,51004,global_1100_1950,baseline_pre,1525,-55483.000,64851.796,1.532450,11.139,,-1,273,10952,928,61,baseline_pre
2584,2.584,4,1004,51004,global_1100_1950,baseline_pre,1525,-55958.000,64376.796,1.521225,11.139,,-1,365,10952,928,61,baseline_pre
2677,2.677,4,1004,51004,global_1100_1950,baseline_pre,1525,-55757.000,64577.796,1.525975,11.139,,-1,458,10953,928,61,baseline_pre
2768,2.768,4,1004,51004,global_1100_1950,baseline_pre,1525,-55700.000,64634.796,1.527322,11.139,,-1,549,10953,928,61,baseline_pre
2860,2.860,4,1004,51004,global_1100_1950,baseline_pre,1525,-55751.000,64583.796,1.526117,11.139,,-1,641,10953,928,61,baseline_pre
2952,2.952,4,1004,51004,global_1100_1950,baseline_pre,1525,-55793.000,64541.796,1.525124,11.139,,-1,733,10953,928,61,baseline_pre
3044,3.044,4,1004,51004,global_1100_1950,baseline_pre,1525,-55915.000,64419.796,1.522242,11.139,,-1,825,10953,928,61,baseline_pre
3137,3.137,4,1004,51004,global_1100_1950,settle,1525,-56102.000,64232.796,1.517823,11.139,,-1,917,10953,928,61,settle
3231,3.231,4,1004,51004,global_1100_1950,settle,1525,-55906.000,64428.796,1.522454,11.139,,-1,1011,10956,928,61,settle
3320,3.320,4,1004,51004,global_1100_1950,settle,1525,-55828.000,64506.796,1.524297,11.139,,-1,1101,10958,928,61,settle
3412,3.412,4,1004,51004,global_1100_1950,settle,1525,-55658.000,64676.796,1.528314,11.139,,-1,1193,10958,928,61,settle
3504,3.504,4,1004,51004,global_1100_1950,settle,1525,-55459.000,64875.796,1.533017,11.139,,-1,1285,10958,928,61,settle
3596,3.596,4,1004,51004,global_1100_1950,settle,1525,-55362.000,64972.796,1.535309,11.139,,-1,1377,10958,928,61,settle
3691,3.691,4,1004,51004,global_1100_1950,settle,1525,-55435.000,64899.796,1.533584,11.139,,-1,1472,10961,928,61,settle
3781,3.781,4,1004,51004,global_1100_1950,settle,1525,-55603.000,64731.796,1.529614,11.139,,-1,1561,10964,928,61,settle
3872,3.872,4,1004,51004,global_1100_1950,settle,1525,-55742.000,64592.796,1.526330,11.139,,-1,1653,10964,928,61,settle
3965,3.965,4,1004,51004,global_1100_1950,settle,1525,-55730.000,64604.796,1.526613,11.139,,-1,1746,10964,928,61,settle
4056,4.056,4,1004,51004,global_1100_1950,settle,1525,-55884.000,64450.796,1.522974,11.139,,-1,1837,10964,928,61,settle
4149,4.149,4,1004,51004,global_1100_1950,settle,1525,-56172.000,64162.796,1.516169,11.139,,-1,1930,10965,928,61,settle
4245,4.245,4,1004,51004,global_1100_1950,settle,1525,-56459.000,63875.796,1.509387,11.139,,-1,1,10973,929,61,settle
4332,4.332,4,1004,51004,global_1100_1950,settle,1525,-56355.000,63979.796,1.511844,11.139,,-1,88,10975,929,61,settle
4424,4.424,4,1004,51004,global_1100_1950,settle,1525,-56118.000,64216.796,1.517445,11.139,,-1,180,10975,929,61,settle
4516,4.516,4,1004,51004,global_1100_1950,settle,1525,-56177.000,64157.796,1.516050,11.139,,-1,272,10975,929,61,settle
4608,4.608,4,1004,51004,global_1100_1950,settle,1525,-56282.000,64052.796,1.513569,11.139,,-1,364,10975,929,61,settle
4703,4.703,4,1004,51004,global_1100_1950,settle,1525,-56381.000,63953.796,1.511230,11.139,,-1,459,10980,929,61,settle
4792,4.792,4,1004,51004,global_1100_1950,settle,1525,-56379.000,63955.796,1.511277,11.139,,-1,548,10981,929,61,settle
4884,4.884,4,1004,51004,global_1100_1950,settle,1525,-56427.000,63907.796,1.510143,11.139,,-1,640,10981,929,61,settle
4976,4.976,4,1004,51004,global_1100_1950,settle,1525,-56410.000,63924.796,1.510545,11.139,,-1,732,10981,929,61,settle
5068,5.068,4,1004,51004,global_1100_1950,settle,1525,-56382.000,63952.796,1.511206,11.139,,-1,824,10981,929,61,settle
5161,5.161,4,1004,51004,global_1100_1950,settle,1525,-56512.000,63822.796,1.508134,11.139,,-1,916,10982,929,61,settle
5257,5.257,4,1004,51004,global_1100_1950,settle,1525,-56831.000,63503.796,1.500596,11.134,,-1,2,10992,930,61,settle
5344,5.344,4,1004,51004,global_1100_1950,settle,1525,-56718.000,63616.796,1.503267,11.134,,-1,89,10993,930,61,settle
5436,5.436,4,1004,51004,global_1100_1950,settle,1525,-56625.000,63709.796,1.505464,11.134,,-1,181,10993,930,61,settle
5528,5.528,4,1004,51004,global_1100_1950,settle,1525,-56559.000,63775.796,1.507024,11.134,,-1,273,10993,930,61,settle
5620,5.620,4,1004,51004,global_1100_1950,settle,1525,-56570.000,63764.796,1.506764,11.134,,-1,365,10993,930,61,settle
5715,5.715,4,1004,51004,global_1100_1950,settle,1525,-56298.000,64036.796,1.513191,11.138,,-1,2,10999,931,61,settle
5804,5.804,4,1004,51004,global_1100_1950,settle,1525,-56332.000,64002.796,1.512388,11.138,,-1,91,10999,931,61,settle
5897,5.897,4,1004,51004,global_1100_1950,settle,1525,-56252.000,64082.796,1.514278,11.138,,-1,184,10999,931,61,settle
5988,5.988,4,1004,51004,global_1100_1950,settle,1525,-56371.000,63963.796,1.511466,11.138,,-1,275,10999,931,61,settle
6080,6.080,4,1004,51004,global_1100_1950,settle,1525,-56338.000,63996.796,1.512246,11.138,,-1,367,10999,931,61,settle
6174,6.174,4,1004,51004,global_1100_1950,0,1100,-56395.000,63939.796,1.510899,11.138,,-1,461,11001,931,61,prbs
6268,6.268,4,1004,51004,global_1100_1950,0,1100,-59349.000,60985.796,1.441096,11.203,,-1,2,11011,932,61,prbs
6356,6.356,4,1004,51004,global_1100_1950,1,1950,-71858.000,48476.796,1.145508,11.203,,-1,90,11011,932,61,prbs
6448,6.448,4,1004,51004,global_1100_1950,1,1950,-67037.000,53297.796,1.259428,11.203,,-1,182,11011,932,61,prbs
6540,6.540,4,1004,51004,global_1100_1950,2,1100,-12458.000,107876.800,2.549132,11.203,,-1,274,11011,932,61,prbs
6632,6.632,4,1004,51004,global_1100_1950,2,1100,12704.000,133038.800,3.143710,11.203,,-1,366,11011,932,61,prbs
6727,6.727,4,1004,51004,global_1100_1950,3,1100,-20136.000,100198.800,2.367700,11.268,,-1,2,11017,933,61,prbs
6816,6.816,4,1004,51004,global_1100_1950,3,1100,-56201.000,64133.796,1.515483,11.268,,-1,91,11017,933,61,prbs
6908,6.908,4,1004,51004,global_1100_1950,4,1100,-76923.000,43411.796,1.025822,11.268,,-1,183,11017,933,61,prbs
7000,7.000,4,1004,51004,global_1100_1950,4,1100,-89023.000,31311.796,0.739899,11.268,,-1,275,11017,933,61,prbs
7092,7.092,4,1004,51004,global_1100_1950,5,1950,-96624.000,23710.796,0.560287,11.268,,-1,367,11017,933,61,prbs
7186,7.186,4,1004,51004,global_1100_1950,5,1950,-83935.000,36399.796,0.860128,11.268,,-1,461,11022,933,61,prbs
7279,7.279,4,1004,51004,global_1100_1950,6,1100,-20721.000,99613.800,2.353877,10.658,,-1,2,11029,934,61,prbs
7368,7.368,4,1004,51004,global_1100_1950,6,1100,11529.000,131863.800,3.115945,10.658,,-1,91,11029,934,61,prbs
7460,7.460,4,1004,51004,global_1100_1950,7,1100,-19041.000,101293.800,2.393575,10.658,,-1,183,11029,934,61,prbs
7552,7.552,4,1004,51004,global_1100_1950,7,1100,-55798.000,64536.796,1.525006,10.658,,-1,275,11029,934,61,prbs
7644,7.644,4,1004,51004,global_1100_1950,8,1950,-76413.000,43921.796,1.037873,10.658,,-1,367,11029,934,61,prbs
7739,7.739,4,1004,51004,global_1100_1950,8,1950,-65971.000,54363.796,1.284618,10.554,,-1,2,11035,935,61,prbs
7828,7.828,4,1004,51004,global_1100_1950,9,1950,-8547.000,111787.800,2.641549,10.554,,-1,91,11035,935,61,prbs
7920,7.920,4,1004,51004,global_1100_1950,9,1950,25518.000,145852.800,3.446506,10.554,,-1,183,11035,935,61,prbs
8012,8.012,4,1004,51004,global_1100_1950,10,1100,33725.000,154059.800,3.640437,10.554,,-1,275,11035,935,61,prbs
8104,8.104,4,1004,51004,global_1100_1950,10,1100,26293.000,146627.800,3.464819,10.554,,-1,367,11035,935,61,prbs
8200,8.200,4,1004,51004,global_1100_1950,11,1950,-12468.000,107866.800,2.548895,11.012,,-1,1,11042,936,61,prbs
8290,8.290,4,1004,51004,global_1100_1950,11,1950,-35795.000,84539.800,1.997678,11.012,,-1,90,11047,936,61,prbs
8380,8.380,4,1004,51004,global_1100_1950,12,1950,-1059.000,119275.800,2.818490,11.012,,-1,181,11047,936,61,prbs
8472,8.472,4,1004,51004,global_1100_1950,12,1950,26257.000,146591.800,3.463968,11.012,,-1,273,11047,936,61,prbs
8564,8.564,4,1004,51004,global_1100_1950,13,1100,32657.000,152991.800,3.615200,11.012,,-1,365,11047,936,61,prbs
8656,8.656,4,1004,51004,global_1100_1950,13,1100,22140.000,142474.800,3.366684,11.012,,-1,457,11047,936,61,prbs
8752,8.752,4,1004,51004,global_1100_1950,14,1100,-19409.000,100925.800,2.384879,11.264,,-1,2,11053,937,61,prbs
8840,8.840,4,1004,51004,global_1100_1950,14,1100,-56524.000,63810.796,1.507851,11.264,,-1,91,11053,937,61,prbs
8932,8.932,4,1004,51004,global_1100_1950,15,1100,-77215.000,43119.796,1.018922,11.264,,-1,183,11053,937,61,prbs
9024,9.024,4,1004,51004,global_1100_1950,15,1100,-89153.000,31181.796,0.736827,11.264,,-1,275,11053,937,61,prbs
9116,9.116,4,1004,51004,global_1100_1950,16,1100,-96596.000,23738.796,0.560948,11.264,,-1,367,11053,937,61,prbs
9212,9.212,4,1004,51004,global_1100_1950,16,1100,-101330.000,19004.796,0.449084,11.263,,-1,1,11062,938,61,prbs
9300,9.300,4,1004,51004,global_1100_1950,17,1100,-104453.000,15881.797,0.375287,11.263,,-1,89,11064,938,61,prbs
9392,9.392,4,1004,51004,global_1100_1950,17,1100,-106692.000,13642.797,0.322380,11.263,,-1,181,11064,938,61,prbs
9485,9.485,4,1004,51004,global_1100_1950,17,1100,-108284.000,12050.797,0.284761,11.263,,-1,273,11064,938,61,prbs
9576,9.576,4,1004,51004,global_1100_1950,18,1100,-109372.000,10962.797,0.259051,11.263,,-1,365,11064,938,61,prbs
9668,9.668,4,1004,51004,global_1100_1950,18,1100,-110156.000,10178.797,0.240525,11.263,,-1,457,11064,938,61,prbs
9763,9.763,4,1004,51004,global_1100_1950,19,1950,-110288.000,10046.797,0.237406,11.263,,-1,552,11070,938,61,prbs
9852,9.852,4,1004,51004,global_1100_1950,19,1950,-89072.000,31262.796,0.738741,11.263,,-1,641,11070,938,61,prbs
9944,9.944,4,1004,51004,global_1100_1950,20,1100,-19571.000,100763.800,2.381051,11.263,,-1,733,11070,938,61,prbs
10036,10.036,4,1004,51004,global_1100_1950,20,1100,10749.000,131083.800,3.097514,11.263,,-1,825,11070,938,61,prbs
