t_ms,t_s,sweep_index,run_name,segment,pwm_us,raw_count,tared_count,force_N,battery_voltage_V,battery_current_A,battery_remaining_pct,battery_age_ms,mavlink_total_packets,mavlink_sys_status_packets,mavlink_bad_frames,phase,step_index,direction
14,0.014,1,global_1000_2000,baseline_pre,1000,-121411.000,126.078,0.002979,12.206,,-1,3,23,3,2,baseline_pre,-1,none
37,0.037,1,global_1000_2000,baseline_pre,1000,-121481.000,56.078,0.001325,12.206,,-1,26,23,3,2,baseline_pre,-1,none
60,0.060,1,global_1000_2000,baseline_pre,1000,-121466.000,71.078,0.001680,12.206,,-1,49,23,3,2,baseline_pre,-1,none
106,0.106,1,global_1000_2000,baseline_pre,1000,-121516.000,21.078,0.000498,12.206,,-1,95,23,3,2,baseline_pre,-1,none
129,0.129,1,global_1000_2000,baseline_pre,1000,-121559.000,-21.922,-0.000518,12.206,,-1,118,23,3,2,baseline_pre,-1,none
141,0.141,1,global_1000_2000,baseline_pre,1000,-121583.000,-45.922,-0.001085,12.206,,-1,130,23,3,2,baseline_pre,-1,none
164,0.164,1,global_1000_2000,baseline_pre,1000,-121536.000,1.078,0.000025,12.206,,-1,153,23,3,2,baseline_pre,-1,none
187,0.187,1,global_1000_2000,baseline_pre,1000,-121422.000,115.078,0.002719,12.206,,-1,176,23,3,2,baseline_pre,-1,none
210,0.210,1,global_1000_2000,baseline_pre,1000,-121543.000,-5.922,-0.000140,12.206,,-1,199,23,3,2,baseline_pre,-1,none
221,0.221,1,global_1000_2000,baseline_pre,1000,-121389.000,148.078,0.003499,12.206,,-1,210,23,3,2,baseline_pre,-1,none
244,0.244,1,global_1000_2000,baseline_pre,1000,-121371.000,166.078,0.003924,12.206,,-1,233,23,3,2,baseline_pre,-1,none
267,0.267,1,global_1000_2000,baseline_pre,1000,-121389.000,148.078,0.003499,12.206,,-1,256,23,3,2,baseline_pre,-1,none
290,0.290,1,global_1000_2000,baseline_pre,1000,-121455.000,82.078,0.001940,12.206,,-1,279,23,3,2,baseline_pre,-1,none
302,0.302,1,global_1000_2000,baseline_pre,1000,-121480.000,57.078,0.001349,12.206,,-1,291,23,3,2,baseline_pre,-1,none
325,0.325,1,global_1000_2000,baseline_pre,1000,-121348.000,189.078,0.004468,12.206,,-1,314,23,3,2,baseline_pre,-1,none
350,0.350,1,global_1000_2000,baseline_pre,1000,-121505.000,32.078,0.000758,12.206,,-1,339,24,3,2,baseline_pre,-1,none
372,0.372,1,global_1000_2000,baseline_pre,1000,-121508.000,29.078,0.000687,12.206,,-1,361,29,3,2,baseline_pre,-1,none
383,0.383,1,global_1000_2000,baseline_pre,1000,-121476.000,61.078,0.001443,12.206,,-1,372,29,3,2,baseline_pre,-1,none
406,0.406,1,global_1000_2000,baseline_pre,1000,-121525.000,12.078,0.000285,12.206,,-1,395,29,3,2,baseline_pre,-1,none
429,0.429,1,global_1000_2000,baseline_pre,1000,-121573.000,-35.922,-0.000849,12.206,,-1,418,29,3,2,baseline_pre,-1,none
452,0.452,1,global_1000_2000,baseline_pre,1000,-121360.000,177.078,0.004184,12.206,,-1,441,29,3,2,baseline_pre,-1,none
463,0.463,1,global_1000_2000,baseline_pre,1000,-121418.000,119.078,0.002814,12.206,,-1,452,29,3,2,baseline_pre,-1,none
486,0.486,1,global_1000_2000,baseline_pre,1000,-121404.000,133.078,0.003145,12.206,,-1,475,29,3,2,baseline_pre,-1,none
509,0.509,1,global_1000_2000,baseline_pre,1000,-121537.000,0.078,0.000002,12.206,,-1,498,29,3,2,baseline_pre,-1,none
533,0.533,1,global_1000_2000,baseline_pre,1000,-121536.000,1.078,0.000025,12.206,,-1,522,29,3,2,baseline_pre,-1,none
544,0.544,1,global_1000_2000,baseline_pre,1000,-121321.000,216.078,0.005106,12.206,,-1,533,29,3,2,baseline_pre,-1,none
567,0.567,1,global_1000_2000,baseline_pre,1000,-121455.000,82.078,0.001940,12.206,,-1,556,29,3,2,baseline_pre,-1,none
590,0.590,1,global_1000_2000,baseline_pre,1000,-121721.000,-183.922,-0.004346,12.206,,-1,579,29,3,2,baseline_pre,-1,none
613,0.613,1,global_1000_2000,baseline_pre,1000,-121558.000,-20.922,-0.000494,12.206,,-1,602,29,3,2,baseline_pre,-1,none
625,0.625,1,global_1000_2000,baseline_pre,1000,-121424.000,113.078,0.002672,12.206,,-1,614,29,3,2,baseline_pre,-1,none
648,0.648,1,global_1000_2000,baseline_pre,1000,-121530.000,7.078,0.000167,12.206,,-1,637,29,3,2,baseline_pre,-1,none
671,0.671,1,global_1000_2000,baseline_pre,1000,-121358.000,179.078,0.004232,12.206,,-1,660,29,3,2,baseline_pre,-1,none
694,0.694,1,global_1000_2000,baseline_pre,1000,-121438.000,99.078,0.002341,12.206,,-1,683,29,3,2,baseline_pre,-1,none
740,0.740,1,global_1000_2000,baseline_pre,1000,-121596.000,-58.922,-0.001392,12.206,,-1,729,29,3,2,baseline_pre,-1,none
763,0.763,1,global_1000_2000,baseline_pre,1000,-121422.000,115.078,0.002719,12.206,,-1,752,29,3,2,baseline_pre,-1,none
786,0.786,1,global_1000_2000,baseline_pre,1000,-121401.000,136.078,0.003216,12.206,,-1,775,29,3,2,baseline_pre,-1,none
798,0.798,1,global_1000_2000,baseline_pre,1000,-121260.000,277.078,0.006547,12.206,,-1,787,29,3,2,baseline_pre,-1,none
821,0.821,1,global_1000_2000,baseline_pre,1000,-121369.000,168.078,0.003972,12.206,,-1,810,29,3,2,baseline_pre,-1,none
845,0.845,1,global_1000_2000,baseline_pre,1000,-121483.000,54.078,0.001278,12.206,,-1,834,31,3,2,baseline_pre,-1,none
869,0.869,1,global_1000_2000,baseline_pre,1000,-121508.000,29.078,0.000687,12.2,,-1,1,35,4,2,baseline_pre,-1,none
892,0.892,1,global_1000_2000,baseline_pre,1000,-121569.000,-31.922,-0.000754,12.2,,-1,24,40,4,2,baseline_pre,-1,none
901,0.901,1,global_1000_2000,baseline_pre,1000,-121547.000,-9.922,-0.000234,12.2,,-1,33,40,4,2,baseline_pre,-1,none
924,0.924,1,global_1000_2000,baseline_pre,1000,-121529.000,8.078,0.000191,12.2,,-1,56,40,4,2,baseline_pre,-1,none
947,0.947,1,global_1000_2000,baseline_pre,1000,-121459.000,78.078,0.001845,12.2,,-1,79,40,4,2,baseline_pre,-1,none
959,0.959,1,global_1000_2000,baseline_pre,1000,-121486.000,51.078,0.001207,12.2,,-1,91,40,4,2,baseline_pre,-1,none
982,0.982,1,global_1000_2000,baseline_pre,1000,-121521.000,16.078,0.000380,12.2,,-1,114,40,4,2,baseline_pre,-1,none
1005,1.005,1,global_1000_2000,baseline_pre,1000,-121573.000,-35.922,-0.000849,12.2,,-1,137,40,4,2,baseline_pre,-1,none
1028,1.028,1,global_1000_2000,baseline_pre,1000,-121580.000,-42.922,-0.001014,12.2,,-1,160,40,4,2,baseline_pre,-1,none
1051,1.051,1,global_1000_2000,baseline_pre,1000,-121394.000,143.078,0.003381,12.2,,-1,183,40,4,2,baseline_pre,-1,none
1063,1.063,1,global_1000_2000,baseline_pre,1000,-121482.000,55.078,0.001301,12.2,,-1,195,40,4,2,baseline_pre,-1,none
1086,1.086,1,global_1000_2000,baseline_pre,1000,-121438.000,99.078,0.002341,12.2,,-1,218,40,4,2,baseline_pre,-1,none
1109,1.109,1,global_1000_2000,baseline_pre,1000,-121567.000,-29.922,-0.000707,12.2,,-1,241,40,4,2,baseline_pre,-1,none
1132,1.132,1,global_1000_2000,baseline_pre,1000,-121552.000,-14.922,-0.000353,12.2,,-1,264,40,4,2,baseline_pre,-1,none
1155,1.155,1,global_1000_2000,baseline_pre,1000,-121683.000,-145.922,-0.003448,12.2,,-1,287,40,4,2,baseline_pre,-1,none
1166,1.166,1,global_1000_2000,baseline_pre,1000,-121664.000,-126.922,-0.002999,12.2,,-1,298,40,4,2,baseline_pre,-1,none
1189,1.189,1,global_1000_2000,baseline_pre,1000,-121530.000,7.078,0.000167,12.2,,-1,321,40,4,2,baseline_pre,-1,none
1212,1.212,1,global_1000_2000,baseline_pre,1000,-121688.000,-150.922,-0.003566,12.2,,-1,344,40,4,2,baseline_pre,-1,none
1236,1.236,1,global_1000_2000,baseline_pre,1000,-121562.000,-24.922,-0.000589,12.2,,-1,368,40,4,2,baseline_pre,-1,none
1259,1.259,1,global_1000_2000,baseline_pre,1000,-121357.000,180.078,0.004255,12.2,,-1,391,40,4,2,baseline_pre,-1,none
1270,1.270,1,global_1000_2000,baseline_pre,1000,-121683.000,-145.922,-0.003448,12.2,,-1,402,40,4,2,baseline_pre,-1,none
1293,1.293,1,global_1000_2000,baseline_pre,1000,-121665.000,-127.922,-0.003023,12.2,,-1,425,40,4,2,baseline_pre,-1,none
1316,1.316,1,global_1000_2000,baseline_pre,1000,-121632.000,-94.922,-0.002243,12.2,,-1,448,40,4,2,baseline_pre,-1,none
1340,1.340,1,global_1000_2000,baseline_pre,1000,-121485.000,52.078,0.001231,12.2,,-1,471,40,4,2,baseline_pre,-1,none
1352,1.352,1,global_1000_2000,baseline_pre,1000,-121653.000,-115.922,-0.002739,12.147,,-1,4,43,5,2,baseline_pre,-1,none
1374,1.374,1,global_1000_2000,baseline_pre,1000,-121408.000,129.078,0.003050,12.147,,-1,26,46,5,2,baseline_pre,-1,none
1397,1.397,1,global_1000_2000,baseline_pre,1000,-121561.000,-23.922,-0.000565,12.147,,-1,49,46,5,2,baseline_pre,-1,none
1420,1.420,1,global_1000_2000,baseline_pre,1000,-121659.000,-121.922,-0.002881,12.147,,-1,72,46,5,2,baseline_pre,-1,none
1431,1.431,1,global_1000_2000,baseline_pre,1000,-121564.000,-26.922,-0.000636,12.147,,-1,83,46,5,2,baseline_pre,-1,none
1478,1.478,1,global_1000_2000,baseline_pre,1000,-121559.000,-21.922,-0.000518,12.147,,-1,130,46,5,2,baseline_pre,-1,none
1501,1.501,1,global_1000_2000,baseline_pre,1000,-121419.000,118.078,0.002790,12.147,,-1,153,46,5,2,baseline_pre,-1,none
1524,1.524,1,global_1000_2000,baseline_pre,1000,-121562.000,-24.922,-0.000589,12.147,,-1,176,46,5,2,baseline_pre,-1,none
1535,1.535,1,global_1000_2000,baseline_pre,1000,-121648.000,-110.922,-0.002621,12.147,,-1,187,46,5,2,baseline_pre,-1,none
1558,1.558,1,global_1000_2000,baseline_pre,1000,-121415.000,122.078,0.002885,12.147,,-1,210,46,5,2,baseline_pre,-1,none
1581,1.581,1,global_1000_2000,baseline_pre,1000,-121448.000,89.078,0.002105,12.147,,-1,233,46,5,2,baseline_pre,-1,none
1604,1.604,1,global_1000_2000,baseline_pre,1000,-121473.000,64.078,0.001514,12.147,,-1,256,46,5,2,baseline_pre,-1,none
1616,1.616,1,global_1000_2000,baseline_pre,1000,-121407.000,130.078,0.003074,12.147,,-1,268,46,5,2,baseline_pre,-1,none
1639,1.639,1,global_1000_2000,baseline_pre,1000,-121441.000,96.078,0.002270,12.147,,-1,291,46,5,2,baseline_pre,-1,none
1662,1.662,1,global_1000_2000,baseline_pre,1000,-121431.000,106.078,0.002507,12.147,,-1,314,46,5,2,baseline_pre,-1,none
1685,1.685,1,global_1000_2000,baseline_pre,1000,-121501.000,36.078,0.000853,12.147,,-1,337,46,5,2,baseline_pre,-1,none
1697,1.697,1,global_1000_2000,baseline_pre,1000,-121636.000,-98.922,-0.002338,12.147,,-1,349,46,5,2,baseline_pre,-1,none
1720,1.720,1,global_1000_2000,baseline_pre,1000,-121558.000,-20.922,-0.000494,12.147,,-1,372,46,5,2,baseline_pre,-1,none
1743,1.743,1,global_1000_2000,baseline_pre,1000,-121530.000,7.078,0.000167,12.147,,-1,395,46,5,2,baseline_pre,-1,none
1766,1.766,1,global_1000_2000,baseline_pre,1000,-121345.000,192.078,0.004539,12.147,,-1,418,46,5,2,baseline_pre,-1,none
1789,1.789,1,global_1000_2000,baseline_pre,1000,-121527.000,10.078,0.000238,12.147,,-1,441,46,5,2,baseline_pre,-1,none
1800,1.800,1,global_1000_2000,baseline_pre,1000,-121632.000,-94.922,-0.002243,12.147,,-1,452,46,5,2,baseline_pre,-1,none
1823,1.823,1,global_1000_2000,baseline_pre,1000,-121421.000,116.078,0.002743,12.147,,-1,475,46,5,2,baseline_pre,-1,none
1847,1.847,1,global_1000_2000,baseline_pre,1000,-121378.000,159.078,0.003759,12.147,,-1,499,48,5,2,baseline_pre,-1,none
1872,1.872,1,global_1000_2000,baseline_pre,1000,-121547.000,-9.922,-0.000234,12.205,,-1,1,53,6,2,baseline_pre,-1,none
1893,1.893,1,global_1000_2000,baseline_pre,1000,-121625.000,-87.922,-0.002078,12.205,,-1,22,57,6,2,baseline_pre,-1,none
1904,1.904,1,global_1000_2000,baseline_pre,1000,-121639.000,-101.922,-0.002408,12.205,,-1,33,57,6,2,baseline_pre,-1,none
1927,1.927,1,global_1000_2000,baseline_pre,1000,-121514.000,23.078,0.000545,12.205,,-1,56,57,6,2,baseline_pre,-1,none
1950,1.950,1,global_1000_2000,baseline_pre,1000,-121399.000,138.078,0.003263,12.205,,-1,79,57,6,2,baseline_pre,-1,none
1973,1.973,1,global_1000_2000,baseline_pre,1000,-121514.000,23.078,0.000545,12.205,,-1,102,57,6,2,baseline_pre,-1,none
1985,1.985,1,global_1000_2000,baseline_pre,1000,-121578.000,-40.922,-0.000967,12.205,,-1,114,57,6,2,baseline_pre,-1,none
2008,2.008,1,global_1000_2000,baseline_pre,1000,-121476.000,61.078,0.001443,12.205,,-1,137,57,6,2,baseline_pre,-1,none
2031,2.031,1,global_1000_2000,baseline_pre,1000,-121565.000,-27.922,-0.000660,12.205,,-1,160,57,6,2,baseline_pre,-1,none
2054,2.054,1,global_1000_2000,baseline_pre,1000,-121469.000,68.078,0.001609,12.205,,-1,183,57,6,2,baseline_pre,-1,none
2065,2.065,1,global_1000_2000,baseline_pre,1000,-121474.000,63.078,0.001491,12.205,,-1,194,57,6,2,baseline_pre,-1,none
2088,2.088,1,global_1000_2000,baseline_pre,1000,-121348.000,189.078,0.004468,12.205,,-1,217,57,6,2,baseline_pre,-1,none
2111,2.111,1,global_1000_2000,baseline_pre,1000,-121559.000,-21.922,-0.000518,12.205,,-1,240,57,6,2,baseline_pre,-1,none
2134,2.134,1,global_1000_2000,baseline_pre,1000,-121394.000,143.078,0.003381,12.205,,-1,263,57,6,2,baseline_pre,-1,none
2146,2.146,1,global_1000_2000,baseline_pre,1000,-121288.000,249.078,0.005886,12.205,,-1,275,57,6,2,baseline_pre,-1,none
2192,2.192,1,global_1000_2000,baseline_pre,1000,-121430.000,107.078,0.002530,12.205,,-1,321,57,6,2,baseline_pre,-1,none
2215,2.215,1,global_1000_2000,baseline_pre,1000,-121540.000,-2.922,-0.000069,12.205,,-1,344,57,6,2,baseline_pre,-1,none
2238,2.238,1,global_1000_2000,baseline_pre,1000,-121334.000,203.078,0.004799,12.205,,-1,367,57,6,2,baseline_pre,-1,none
2261,2.261,1,global_1000_2000,baseline_pre,1000,-121506.000,31.078,0.000734,12.205,,-1,390,57,6,2,baseline_pre,-1,none
2273,2.273,1,global_1000_2000,baseline_pre,1000,-121597.000,-59.922,-0.001416,12.205,,-1,402,57,6,2,baseline_pre,-1,none
2296,2.296,1,global_1000_2000,baseline_pre,1000,-121723.000,-185.922,-0.004393,12.205,,-1,425,57,6,2,baseline_pre,-1,none
2319,2.319,1,global_1000_2000,baseline_pre,1000,-121547.000,-9.922,-0.000234,12.205,,-1,448,57,6,2,baseline_pre,-1,none
2343,2.343,1,global_1000_2000,baseline_pre,1000,-121415.000,122.078,0.002885,12.205,,-1,471,57,6,2,baseline_pre,-1,none
2367,2.367,1,global_1000_2000,baseline_pre,1000,-121536.000,1.078,0.000025,12.144,,-1,14,63,7,2,baseline_pre,-1,none
2377,2.377,1,global_1000_2000,baseline_pre,1000,-121673.000,-135.922,-0.003212,12.144,,-1,24,63,7,2,baseline_pre,-1,none
