Scenario,Type,Tier,t_settle_s,overshoot_pct,ISE_mm2s,RMS_track_mm,peak_err_mm,J_lqr,peak_servo_deg,TV_servo_rad,TV_thrust_N
"A1: Ramp (T=1 N, 39%)",tracking,Tier 1 — Fixed,NaN,NaN,3436.06375239274,17.1332715150815,30.2990328846243,0.378140937704528,13.3614653859811,0.443593232347592,0
"A1: Ramp (T=1 N, 39%)",tracking,Tier 2 — Angle-Sched,NaN,NaN,3461.14431168179,17.2022835941479,30.3776186544688,0.379584224486436,13.313131759414,0.441799547425188,0.000562375986934205
"A1: Ramp (T=1 N, 39%)",tracking,Tier 3 — Pair-Sched,NaN,NaN,3432.28453752759,17.1141079657552,30.2833864246433,0.377043430259157,13.3401228517082,0.442820738940404,0.0024047010807553
"A2: Ramp (T=2.57 N, 100%)",tracking,Tier 1 — Fixed,NaN,NaN,1021.4772436259,7.59949211002265,18.066187024071,0.0668441200948983,7.11750142215439,0.245215169160049,0
"A2: Ramp (T=2.57 N, 100%)",tracking,Tier 2 — Angle-Sched,NaN,NaN,1020.91904496645,7.59640548409407,18.0592453520445,0.066799947044009,7.11908129536892,0.24527586298418,0.000154833940602561
"A2: Ramp (T=2.57 N, 100%)",tracking,Tier 3 — Pair-Sched,NaN,NaN,1021.61239426375,7.5988971943731,18.065487158325,0.0668262211221803,7.11679176020986,0.245190118942621,0.000197616763072617
"A3: Ramp (T=4 N, 155%)",tracking,Tier 1 — Fixed,NaN,NaN,615.684591033772,5.32788289134038,13.6547736074684,0.0312378094088792,5.02802367808802,0.173830331776994,0
"A3: Ramp (T=4 N, 155%)",tracking,Tier 2 — Angle-Sched,NaN,NaN,613.981476544028,5.31488852343678,13.6199092703566,0.0310974869711007,5.03212089218778,0.173972688085688,7.46902546593375e-05
"A3: Ramp (T=4 N, 155%)",tracking,Tier 3 — Pair-Sched,NaN,NaN,606.762764579093,5.27152895105066,13.5305881499197,0.0307178788569454,5.04430459867734,0.174402951363175,6.2617551993327e-05
"B1: Sine (A=20 mm)",tracking,Tier 1 — Fixed,NaN,NaN,2445.7375106645,14.3163956505943,20.4352857616428,0.297803485294817,7.99486118792442,6.27106453599686,0
"B1: Sine (A=20 mm)",tracking,Tier 2 — Angle-Sched,NaN,NaN,2445.75462284443,14.3160234032529,20.4367922773722,0.297803125722703,7.99111069016959,6.2707962528263,0.00458281352520551
"B1: Sine (A=20 mm)",tracking,Tier 3 — Pair-Sched,NaN,NaN,2445.71398319614,14.3164496951145,20.4350337880964,0.297782259435874,7.99343685470549,6.27011956069213,0.00585522795833793
"B2: Sine (A=50 mm)",tracking,Tier 1 — Fixed,NaN,NaN,15416.1295520296,35.9797501400893,51.2119813124273,1.83222030328003,18.4451032154478,14.7576608779624,0
"B2: Sine (A=50 mm)",tracking,Tier 2 — Angle-Sched,NaN,NaN,15417.6458958554,35.9818065929479,51.2767002448233,1.83144586049269,18.3774623906142,14.7265535331226,0.0278552417176563
"B2: Sine (A=50 mm)",tracking,Tier 3 — Pair-Sched,NaN,NaN,15414.1327796362,35.9788918377199,51.2084663309081,1.83092006769974,18.4126156529173,14.734857399517,0.03294971084896
"B3: Sine (A=100 mm)",tracking,Tier 1 — Fixed,NaN,NaN,65012.4666447608,74.1035841928614,106.01607872257,7.48025125199801,31.6336473676667,26.0953589975473,0
"B3: Sine (A=100 mm)",tracking,Tier 2 — Angle-Sched,NaN,NaN,65014.4603163698,74.1008714229624,106.168047964915,7.40404934834048,31.1691068500836,25.341838222437,0.12346578940919
"B3: Sine (A=100 mm)",tracking,Tier 3 — Pair-Sched,NaN,NaN,64976.7219160958,74.0818344934402,105.94053205818,7.44914193799111,31.3389043216044,25.8667707008435,0.10842873888642
"C1: Gust (T=1 N, 39%)",disturbance,Tier 1 — Fixed,7.86984143940942,NaN,7523.02361130548,38.393885472777,67.0338444747096,1.37792674175633,38.0804105653315,1.31571818775271,0
"C1: Gust (T=1 N, 39%)",disturbance,Tier 2 — Angle-Sched,7.79661953004928,NaN,7148.65650798319,37.4538741110078,65.4764521107899,1.34537550122859,38.8475345465084,1.3428253268832,0.00468217566429985
"C1: Gust (T=1 N, 39%)",disturbance,Tier 3 — Pair-Sched,7.70917466389203,NaN,6387.38224350504,35.3772986868825,61.8694813285422,1.25508265851166,38.6368462306196,1.33612074615662,0.0255445282771281
"C2: Gust (T=2.57 N, 100%)",disturbance,Tier 1 — Fixed,4.36519697349683,NaN,1510.67936075936,17.3844729336106,35.4564151637842,0.290222604675146,19.4702995502874,0.679572260920036,0
"C2: Gust (T=2.57 N, 100%)",disturbance,Tier 2 — Angle-Sched,4.34942530585307,NaN,1466.46527370498,17.1280565508803,34.8930058924757,0.286353797039211,19.553828627583,0.682557905808654,0.00121758002288264
"C2: Gust (T=2.57 N, 100%)",disturbance,Tier 3 — Pair-Sched,4.36442774145195,NaN,1501.51970751425,17.3330188080385,35.3318832072588,0.289441658826857,19.4976366014351,0.680528433715159,0.00169970132329045
"C3: Gust (T=4 N, 155%)",disturbance,Tier 1 — Fixed,3.6415705757911,NaN,709.074573486183,11.9185469736019,24.9077007054875,0.138382253873494,13.4137068183827,0.477463496284927,0
"C3: Gust (T=4 N, 155%)",disturbance,Tier 2 — Angle-Sched,3.63234496938668,NaN,692.881065088095,11.7722361013609,24.6013793300082,0.136883132845713,13.432719793596,0.482410989679856,0.000598409229427332
"C3: Gust (T=4 N, 155%)",disturbance,Tier 3 — Pair-Sched,3.6444628090967,NaN,749.309610445967,12.2472510680945,25.5949540156379,0.142403195688697,13.4096113474622,0.4699422071786,0.000527652658041333
