bootstrap_index,resample_mode,fit_status,fit_message,K_rad_per_us,tau_s,delay_s,train_weighted_error,train_mag_rmse_dB,train_phase_rmse_deg,validation_weighted_error,validation_mag_rmse_dB,validation_phase_rmse_deg,n_fit_points,sampled_unit_ids
1,period,ok,,0.00158118599178389,0.0242296050125559,0.0304441974704095,0.017971775598739,0.119247549350608,0.666471877434465,0.034857119390112,0.210441794955581,1.45554966452519,21,period_file002_p0002_train_amp1000;period_file003_p0003_train_amp1000;period_file001_p0000_train_amp1000;period_file002_p0000_train_amp1000;period_file001_p0002_train_amp1000;period_file001_p0001_train_amp1000;period_file001_p0002_train_amp1000;period_file002_p0001_train_amp1000;period_file002_p0002_train_amp1000;period_file003_p0000_train_amp1000;period_file002_p0002_train_amp1000;period_file003_p0002_train_amp1000;period_file001_p0003_train_amp1000;period_file004_p0002_train_amp1000;period_file001_p0000_train_amp1000;period_file003_p0002_train_amp1000;period_file006_p0002_train_amp250;period_file007_p0000_train_amp250;period_file005_p0002_train_amp250;period_file005_p0003_train_amp250;period_file008_p0000_train_amp250;period_file008_p0003_train_amp250;period_file006_p0001_train_amp250;period_file007_p0003_train_amp250;period_file008_p0002_train_amp250;period_file008_p0002_train_amp250;period_file005_p0001_train_amp250;period_file005_p0000_train_amp250;period_file005_p0002_train_amp250;period_file008_p0002_train_amp250;period_file005_p0001_train_amp250;period_file006_p0002_train_amp250;period_file012_p0003_train_amp500;period_file011_p0000_train_amp500;period_file011_p0003_train_amp500;period_file010_p0001_train_amp500;period_file011_p0002_train_amp500;period_file012_p0001_train_amp500;period_file009_p0000_train_amp500;period_file012_p0000_train_amp500;period_file012_p0003_train_amp500;period_file011_p0003_train_amp500;period_file010_p0000_train_amp500;period_file012_p0000_train_amp500;period_file009_p0001_train_amp500;period_file010_p0003_train_amp500;period_file012_p0002_train_amp500;period_file010_p0000_train_amp500;period_file014_p0000_train_amp750;period_file013_p0002_train_amp750;period_file013_p0000_train_amp750;period_file015_p0002_train_amp750;period_file013_p0003_train_amp750;period_file014_p0000_train_amp750;period_file014_p0003_train_amp750;period_file013_p0000_train_amp750;period_file015_p0001_train_amp750;period_file013_p0002_train_amp750;period_file015_p0001_train_amp750;period_file015_p0003_train_amp750;period_file013_p0001_train_amp750;period_file014_p0002_train_amp750;period_file015_p0003_train_amp750;period_file014_p0002_train_amp750
2,period,ok,,0.00158457218938923,0.029575925033479,0.0285478810792614,0.033285581282985,0.216884371233535,1.2763127101412,0.0520414815949124,0.264486952227977,2.47544331278393,21,period_file001_p0000_train_amp1000;period_file003_p0000_train_amp1000;period_file003_p0002_train_amp1000;period_file003_p0000_train_amp1000;period_file004_p0003_train_amp1000;period_file003_p0001_train_amp1000;period_file004_p0002_train_amp1000;period_file001_p0002_train_amp1000;period_file001_p0002_train_amp1000;period_file004_p0000_train_amp1000;period_file002_p0002_train_amp1000;period_file001_p0002_train_amp1000;period_file004_p0002_train_amp1000;period_file002_p0001_train_amp1000;period_file004_p0000_train_amp1000;period_file003_p0003_train_amp1000;period_file008_p0002_train_amp250;period_file007_p0001_train_amp250;period_file008_p0000_train_amp250;period_file006_p0001_train_amp250;period_file006_p0000_train_amp250;period_file008_p0002_train_amp250;period_file006_p0002_train_amp250;period_file008_p0003_train_amp250;period_file007_p0002_train_amp250;period_file007_p0001_train_amp250;period_file005_p0001_train_amp250;period_file008_p0003_train_amp250;period_file006_p0003_train_amp250;period_file007_p0001_train_amp250;period_file006_p0002_train_amp250;period_file005_p0003_train_amp250;period_file012_p0002_train_amp500;period_file011_p0001_train_amp500;period_file009_p0000_train_amp500;period_file011_p0001_train_amp500;period_file010_p0001_train_amp500;period_file011_p0000_train_amp500;period_file012_p0002_train_amp500;period_file010_p0001_train_amp500;period_file012_p0002_train_amp500;period_file011_p0001_train_amp500;period_file009_p0000_train_amp500;period_file012_p0002_train_amp500;period_file011_p0003_train_amp500;period_file012_p0003_train_amp500;period_file009_p0002_train_amp500;period_file009_p0002_train_amp500;period_file016_p0002_train_amp750;period_file015_p0003_train_amp750;period_file013_p0001_train_amp750;period_file016_p0000_train_amp750;period_file016_p0000_train_amp750;period_file016_p0002_train_amp750;period_file015_p0003_train_amp750;period_file013_p0001_train_amp750;period_file013_p0000_train_amp750;period_file013_p0000_train_amp750;period_file013_p0000_train_amp750;period_file013_p0003_train_amp750;period_file016_p0001_train_amp750;period_file015_p0000_train_amp750;period_file015_p0000_train_amp750;period_file016_p0001_train_amp750
3,period,ok,,0.0015846846874281,0.0295770848376084,0.0281983427303113,0.0292302849462888,0.189917281362182,1.12591794820533,0.0500591751941326,0.264224782147302,2.33416001091483,21,period_file001_p0001_train_amp1000;period_file002_p0000_train_amp1000;period_file003_p0001_train_amp1000;period_file004_p0003_train_amp1000;period_file003_p0000_train_amp1000;period_file001_p0000_train_amp1000;period_file004_p0000_train_amp1000;period_file001_p0003_train_amp1000;period_file004_p0000_train_amp1000;period_file002_p0002_train_amp1000;period_file004_p0001_train_amp1000;period_file003_p0003_train_amp1000;period_file003_p0000_train_amp1000;period_file001_p0002_train_amp1000;period_file001_p0000_train_amp1000;period_file001_p0001_train_amp1000;period_file005_p0000_train_amp250;period_file005_p0001_train_amp250;period_file005_p0003_train_amp250;period_file007_p0003_train_amp250;period_file007_p0000_train_amp250;period_file005_p0000_train_amp250;period_file005_p0001_train_amp250;period_file008_p0003_train_amp250;period_file007_p0001_train_amp250;period_file005_p0003_train_amp250;period_file006_p0000_train_amp250;period_file007_p0003_train_amp250;period_file005_p0003_train_amp250;period_file007_p0001_train_amp250;period_file008_p0003_train_amp250;period_file008_p0001_train_amp250;period_file009_p0003_train_amp500;period_file010_p0003_train_amp500;period_file011_p0001_train_amp500;period_file012_p0001_train_amp500;period_file009_p0002_train_amp500;period_file009_p0000_train_amp500;period_file009_p0001_train_amp500;period_file010_p0003_train_amp500;period_file011_p0001_train_amp500;period_file011_p0001_train_amp500;period_file010_p0001_train_amp500;period_file012_p0003_train_amp500;period_file011_p0001_train_amp500;period_file010_p0002_train_amp500;period_file011_p0000_train_amp500;period_file011_p0003_train_amp500;period_file015_p0002_train_amp750;period_file014_p0000_train_amp750;period_file013_p0001_train_amp750;period_file014_p0001_train_amp750;period_file015_p0002_train_amp750;period_file013_p0003_train_amp750;period_file016_p0000_train_amp750;period_file013_p0001_train_amp750;period_file014_p0000_train_amp750;period_file016_p0000_train_amp750;period_file013_p0003_train_amp750;period_file015_p0002_train_amp750;period_file015_p0000_train_amp750;period_file016_p0002_train_amp750;period_file014_p0000_train_amp750;period_file013_p0001_train_amp750
4,period,ok,,0.00158478575338723,0.029499731364563,0.0288283971304462,0.0361927818630082,0.238974768377648,1.3679344916339,0.0531910139241626,0.262700364880087,2.56382260570451,21,period_file003_p0003_train_amp1000;period_file004_p0000_train_amp1000;period_file004_p0002_train_amp1000;period_file004_p0002_train_amp1000;period_file001_p0000_train_amp1000;period_file001_p0003_train_amp1000;period_file003_p0001_train_amp1000;period_file004_p0003_train_amp1000;period_file004_p0003_train_amp1000;period_file003_p0000_train_amp1000;period_file004_p0002_train_amp1000;period_file003_p0002_train_amp1000;period_file002_p0002_train_amp1000;period_file002_p0003_train_amp1000;period_file003_p0001_train_amp1000;period_file003_p0000_train_amp1000;period_file008_p0002_train_amp250;period_file008_p0002_train_amp250;period_file006_p0002_train_amp250;period_file008_p0003_train_amp250;period_file005_p0002_train_amp250;period_file005_p0002_train_amp250;period_file005_p0002_train_amp250;period_file007_p0000_train_amp250;period_file005_p0000_train_amp250;period_file008_p0003_train_amp250;period_file008_p0001_train_amp250;period_file005_p0000_train_amp250;period_file005_p0002_train_amp250;period_file006_p0001_train_amp250;period_file005_p0002_train_amp250;period_file008_p0000_train_amp250;period_file010_p0001_train_amp500;period_file012_p0003_train_amp500;period_file011_p0001_train_amp500;period_file012_p0002_train_amp500;period_file012_p0001_train_amp500;period_file012_p0002_train_amp500;period_file010_p0003_train_amp500;period_file011_p0000_train_amp500;period_file012_p0000_train_amp500;period_file010_p0000_train_amp500;period_file010_p0003_train_amp500;period_file011_p0001_train_amp500;period_file009_p0000_train_amp500;period_file011_p0001_train_amp500;period_file010_p0002_train_amp500;period_file012_p0000_train_amp500;period_file014_p0001_train_amp750;period_file016_p0002_train_amp750;period_file015_p0001_train_amp750;period_file013_p0002_train_amp750;period_file016_p0000_train_amp750;period_file015_p0001_train_amp750;period_file013_p0000_train_amp750;period_file014_p0002_train_amp750;period_file015_p0002_train_amp750;period_file016_p0002_train_amp750;period_file013_p0000_train_amp750;period_file016_p0003_train_amp750;period_file014_p0002_train_amp750;period_file016_p0003_train_amp750;period_file015_p0001_train_amp750;period_file016_p0001_train_amp750
5,period,ok,,0.00158188568640964,0.0268548170279524,0.0295913368529889,0.0279506218157277,0.179557743577237,1.087840529694,0.0426596947086884,0.2322171698919,1.9395023102322,21,period_file003_p0001_train_amp1000;period_file003_p0002_train_amp1000;period_file002_p0000_train_amp1000;period_file003_p0001_train_amp1000;period_file004_p0000_train_amp1000;period_file004_p0001_train_amp1000;period_file004_p0000_train_amp1000;period_file003_p0003_train_amp1000;period_file004_p0001_train_amp1000;period_file002_p0001_train_amp1000;period_file003_p0002_train_amp1000;period_file002_p0003_train_amp1000;period_file002_p0002_train_amp1000;period_file002_p0002_train_amp1000;period_file002_p0002_train_amp1000;period_file002_p0001_train_amp1000;period_file007_p0001_train_amp250;period_file006_p0002_train_amp250;period_file008_p0003_train_amp250;period_file007_p0002_train_amp250;period_file005_p0003_train_amp250;period_file006_p0002_train_amp250;period_file006_p0001_train_amp250;period_file008_p0000_train_amp250;period_file008_p0002_train_amp250;period_file008_p0002_train_amp250;period_file007_p0002_train_amp250;period_file006_p0000_train_amp250;period_file006_p0000_train_amp250;period_file008_p0001_train_amp250;period_file007_p0000_train_amp250;period_file008_p0000_train_amp250;period_file011_p0001_train_amp500;period_file011_p0003_train_amp500;period_file011_p0000_train_amp500;period_file012_p0000_train_amp500;period_file011_p0001_train_amp500;period_file010_p0003_train_amp500;period_file010_p0001_train_amp500;period_file009_p0001_train_amp500;period_file010_p0002_train_amp500;period_file009_p0001_train_amp500;period_file012_p0003_train_amp500;period_file009_p0002_train_amp500;period_file012_p0000_train_amp500;period_file012_p0001_train_amp500;period_file011_p0003_train_amp500;period_file011_p0001_train_amp500;period_file013_p0002_train_amp750;period_file014_p0003_train_amp750;period_file014_p0001_train_amp750;period_file013_p0003_train_amp750;period_file015_p0001_train_amp750;period_file014_p0000_train_amp750;period_file016_p0002_train_amp750;period_file016_p0002_train_amp750;period_file014_p0000_train_amp750;period_file013_p0001_train_amp750;period_file013_p0003_train_amp750;period_file014_p0003_train_amp750;period_file015_p0003_train_amp750;period_file013_p0003_train_amp750;period_file013_p0003_train_amp750;period_file016_p0001_train_amp750
6,period,ok,,0.00158126967433735,0.0260776717684676,0.0297967391035202,0.0221194550117097,0.142568655891591,0.855462486787708,0.0398561623457781,0.225065462703357,1.76520903280079,21,period_file002_p0002_train_amp1000;period_file003_p0001_train_amp1000;period_file001_p0003_train_amp1000;period_file001_p0001_train_amp1000;period_file003_p0000_train_amp1000;period_file002_p0003_train_amp1000;period_file001_p0002_train_amp1000;period_file003_p0001_train_amp1000;period_file003_p0000_train_amp1000;period_file003_p0002_train_amp1000;period_file001_p0002_train_amp1000;period_file004_p0000_train_amp1000;period_file001_p0003_train_amp1000;period_file003_p0000_train_amp1000;period_file004_p0000_train_amp1000;period_file001_p0000_train_amp1000;period_file006_p0001_train_amp250;period_file008_p0001_train_amp250;period_file008_p0001_train_amp250;period_file007_p0000_train_amp250;period_file008_p0001_train_amp250;period_file008_p0003_train_amp250;period_file008_p0001_train_amp250;period_file008_p0001_train_amp250;period_file005_p0001_train_amp250;period_file007_p0002_train_amp250;period_file007_p0003_train_amp250;period_file007_p0001_train_amp250;period_file008_p0000_train_amp250;period_file005_p0000_train_amp250;period_file008_p0000_train_amp250;period_file007_p0003_train_amp250;period_file010_p0000_train_amp500;period_file010_p0000_train_amp500;period_file011_p0002_train_amp500;period_file010_p0001_train_amp500;period_file012_p0000_train_amp500;period_file010_p0003_train_amp500;period_file012_p0000_train_amp500;period_file012_p0003_train_amp500;period_file010_p0000_train_amp500;period_file009_p0002_train_amp500;period_file012_p0002_train_amp500;period_file011_p0000_train_amp500;period_file012_p0003_train_amp500;period_file011_p0002_train_amp500;period_file012_p0003_train_amp500;period_file011_p0000_train_amp500;period_file015_p0000_train_amp750;period_file013_p0002_train_amp750;period_file014_p0001_train_amp750;period_file013_p0000_train_amp750;period_file013_p0002_train_amp750;period_file015_p0003_train_amp750;period_file013_p0000_train_amp750;period_file014_p0001_train_amp750;period_file016_p0001_train_amp750;period_file015_p0003_train_amp750;period_file015_p0003_train_amp750;period_file013_p0003_train_amp750;period_file014_p0003_train_amp750;period_file015_p0001_train_amp750;period_file016_p0003_train_amp750;period_file013_p0003_train_amp750
7,period,ok,,0.00157965712818681,0.0274236860913771,0.0296382307888073,0.0290900173125267,0.199912238078426,1.0341509591495,0.0463015059563525,0.244711686489064,2.14933824308944,21,period_file001_p0003_train_amp1000;period_file002_p0000_train_amp1000;period_file004_p0000_train_amp1000;period_file002_p0003_train_amp1000;period_file001_p0000_train_amp1000;period_file003_p0000_train_amp1000;period_file001_p0003_train_amp1000;period_file004_p0000_train_amp1000;period_file002_p0000_train_amp1000;period_file001_p0000_train_amp1000;period_file003_p0001_train_amp1000;period_file004_p0001_train_amp1000;period_file002_p0002_train_amp1000;period_file003_p0003_train_amp1000;period_file003_p0000_train_amp1000;period_file003_p0000_train_amp1000;period_file008_p0003_train_amp250;period_file008_p0000_train_amp250;period_file005_p0000_train_amp250;period_file007_p0003_train_amp250;period_file006_p0003_train_amp250;period_file008_p0003_train_amp250;period_file005_p0003_train_amp250;period_file006_p0000_train_amp250;period_file005_p0001_train_amp250;period_file006_p0002_train_amp250;period_file005_p0001_train_amp250;period_file007_p0002_train_amp250;period_file008_p0000_train_amp250;period_file007_p0003_train_amp250;period_file008_p0000_train_amp250;period_file006_p0001_train_amp250;period_file012_p0001_train_amp500;period_file010_p0002_train_amp500;period_file012_p0001_train_amp500;period_file011_p0002_train_amp500;period_file009_p0002_train_amp500;period_file009_p0001_train_amp500;period_file009_p0000_train_amp500;period_file009_p0001_train_amp500;period_file010_p0003_train_amp500;period_file009_p0001_train_amp500;period_file009_p0000_train_amp500;period_file012_p0000_train_amp500;period_file010_p0002_train_amp500;period_file011_p0003_train_amp500;period_file010_p0003_train_amp500;period_file010_p0003_train_amp500;period_file014_p0003_train_amp750;period_file014_p0003_train_amp750;period_file016_p0000_train_amp750;period_file014_p0002_train_amp750;period_file016_p0002_train_amp750;period_file013_p0000_train_amp750;period_file016_p0000_train_amp750;period_file013_p0002_train_amp750;period_file015_p0001_train_amp750;period_file013_p0000_train_amp750;period_file015_p0000_train_amp750;period_file013_p0000_train_amp750;period_file016_p0003_train_amp750;period_file016_p0002_train_amp750;period_file016_p0000_train_amp750;period_file016_p0002_train_amp750
8,period,ok,,0.00159007754230899,0.029554797241051,0.0282362108021687,0.0295969530914961,0.177091481222946,1.2387094852519,0.0494565422828099,0.251815093654943,2.34147421689168,21,period_file001_p0002_train_amp1000;period_file001_p0002_train_amp1000;period_file001_p0003_train_amp1000;period_file003_p0001_train_amp1000;period_file004_p0002_train_amp1000;period_file004_p0003_train_amp1000;period_file003_p0003_train_amp1000;period_file003_p0003_train_amp1000;period_file004_p0002_train_amp1000;period_file002_p0002_train_amp1000;period_file001_p0003_train_amp1000;period_file001_p0002_train_amp1000;period_file001_p0001_train_amp1000;period_file004_p0001_train_amp1000;period_file001_p0002_train_amp1000;period_file002_p0000_train_amp1000;period_file008_p0001_train_amp250;period_file006_p0000_train_amp250;period_file008_p0003_train_amp250;period_file006_p0000_train_amp250;period_file007_p0000_train_amp250;period_file006_p0001_train_amp250;period_file008_p0002_train_amp250;period_file006_p0001_train_amp250;period_file006_p0002_train_amp250;period_file007_p0000_train_amp250;period_file008_p0003_train_amp250;period_file005_p0000_train_amp250;period_file007_p0003_train_amp250;period_file008_p0002_train_amp250;period_file005_p0000_train_amp250;period_file007_p0000_train_amp250;period_file010_p0001_train_amp500;period_file012_p0001_train_amp500;period_file011_p0000_train_amp500;period_file011_p0003_train_amp500;period_file010_p0003_train_amp500;period_file011_p0002_train_amp500;period_file010_p0000_train_amp500;period_file009_p0000_train_amp500;period_file011_p0001_train_amp500;period_file010_p0000_train_amp500;period_file011_p0000_train_amp500;period_file012_p0002_train_amp500;period_file010_p0002_train_amp500;period_file009_p0003_train_amp500;period_file010_p0001_train_amp500;period_file012_p0002_train_amp500;period_file016_p0002_train_amp750;period_file016_p0001_train_amp750;period_file016_p0002_train_amp750;period_file013_p0003_train_amp750;period_file013_p0001_train_amp750;period_file013_p0003_train_amp750;period_file014_p0001_train_amp750;period_file013_p0002_train_amp750;period_file015_p0001_train_amp750;period_file014_p0002_train_amp750;period_file016_p0001_train_amp750;period_file013_p0002_train_amp750;period_file015_p0003_train_amp750;period_file013_p0003_train_amp750;period_file015_p0001_train_amp750;period_file014_p0001_train_amp750
9,period,ok,,0.00158698996666197,0.0291137806551355,0.0284979611363901,0.0299456061619085,0.194917410646375,1.15128577334656,0.0487056404144764,0.251454898282707,2.29094279995684,21,period_file001_p0000_train_amp1000;period_file001_p0003_train_amp1000;period_file003_p0002_train_amp1000;period_file002_p0003_train_amp1000;period_file003_p0000_train_amp1000;period_file001_p0002_train_amp1000;period_file003_p0001_train_amp1000;period_file004_p0003_train_amp1000;period_file004_p0001_train_amp1000;period_file003_p0001_train_amp1000;period_file004_p0003_train_amp1000;period_file004_p0002_train_amp1000;period_file003_p0001_train_amp1000;period_file001_p0000_train_amp1000;period_file001_p0001_train_amp1000;period_file001_p0001_train_amp1000;period_file006_p0003_train_amp250;period_file006_p0002_train_amp250;period_file008_p0003_train_amp250;period_file005_p0002_train_amp250;period_file008_p0003_train_amp250;period_file008_p0000_train_amp250;period_file008_p0001_train_amp250;period_file007_p0002_train_amp250;period_file007_p0002_train_amp250;period_file006_p0003_train_amp250;period_file005_p0000_train_amp250;period_file006_p0001_train_amp250;period_file006_p0003_train_amp250;period_file007_p0003_train_amp250;period_file006_p0003_train_amp250;period_file006_p0003_train_amp250;period_file009_p0002_train_amp500;period_file009_p0000_train_amp500;period_file012_p0000_train_amp500;period_file010_p0001_train_amp500;period_file012_p0003_train_amp500;period_file009_p0003_train_amp500;period_file010_p0001_train_amp500;period_file011_p0000_train_amp500;period_file012_p0000_train_amp500;period_file010_p0003_train_amp500;period_file009_p0001_train_amp500;period_file010_p0001_train_amp500;period_file011_p0000_train_amp500;period_file011_p0002_train_amp500;period_file012_p0000_train_amp500;period_file009_p0002_train_amp500;period_file013_p0000_train_amp750;period_file015_p0000_train_amp750;period_file016_p0000_train_amp750;period_file013_p0000_train_amp750;period_file015_p0002_train_amp750;period_file015_p0002_train_amp750;period_file014_p0003_train_amp750;period_file016_p0002_train_amp750;period_file015_p0002_train_amp750;period_file013_p0000_train_amp750;period_file014_p0003_train_amp750;period_file016_p0001_train_amp750;period_file016_p0001_train_amp750;period_file015_p0002_train_amp750;period_file015_p0002_train_amp750;period_file015_p0001_train_amp750
10,period,ok,,0.00157962720748758,0.0272417707005113,0.0295732977985841,0.0284495714977079,0.181424927586713,1.11629147209592,0.0449584300759368,0.242388673858794,2.06195771544977,21,period_file002_p0000_train_amp1000;period_file003_p0000_train_amp1000;period_file003_p0002_train_amp1000;period_file002_p0001_train_amp1000;period_file004_p0001_train_amp1000;period_file001_p0003_train_amp1000;period_file003_p0003_train_amp1000;period_file002_p0000_train_amp1000;period_file004_p0000_train_amp1000;period_file002_p0002_train_amp1000;period_file004_p0000_train_amp1000;period_file002_p0001_train_amp1000;period_file001_p0003_train_amp1000;period_file004_p0000_train_amp1000;period_file002_p0000_train_amp1000;period_file003_p0003_train_amp1000;period_file007_p0003_train_amp250;period_file005_p0003_train_amp250;period_file005_p0003_train_amp250;period_file005_p0003_train_amp250;period_file005_p0002_train_amp250;period_file006_p0002_train_amp250;period_file005_p0000_train_amp250;period_file005_p0001_train_amp250;period_file007_p0002_train_amp250;period_file008_p0000_train_amp250;period_file005_p0001_train_amp250;period_file005_p0003_train_amp250;period_file005_p0003_train_amp250;period_file008_p0002_train_amp250;period_file007_p0003_train_amp250;period_file007_p0000_train_amp250;period_file010_p0000_train_amp500;period_file012_p0001_train_amp500;period_file010_p0002_train_amp500;period_file012_p0002_train_amp500;period_file011_p0003_train_amp500;period_file010_p0003_train_amp500;period_file009_p0002_train_amp500;period_file012_p0003_train_amp500;period_file009_p0002_train_amp500;period_file009_p0003_train_amp500;period_file010_p0002_train_amp500;period_file010_p0002_train_amp500;period_file009_p0002_train_amp500;period_file011_p0003_train_amp500;period_file009_p0003_train_amp500;period_file011_p0002_train_amp500;period_file016_p0000_train_amp750;period_file013_p0003_train_amp750;period_file015_p0001_train_amp750;period_file015_p0003_train_amp750;period_file015_p0002_train_amp750;period_file015_p0001_train_amp750;period_file014_p0000_train_amp750;period_file015_p0003_train_amp750;period_file016_p0003_train_amp750;period_file014_p0002_train_amp750;period_file016_p0000_train_amp750;period_file013_p0000_train_amp750;period_file016_p0001_train_amp750;period_file013_p0003_train_amp750;period_file014_p0002_train_amp750;period_file014_p0000_train_amp750
