bootstrap_index,mean_thrust_N,std_thrust_N,min_sampled_thrust_N,max_sampled_thrust_N,mean_voltage_V,std_voltage_V,sampled_unit_ids
1,3.13089720833333,0.134549445909401,2.9102753,3.238860475,11.2479041666667,0.253022082246131,train_seed2002_baseline_pre;validation_seed2003_baseline_pre;train_seed2001_baseline_pre;train_seed2001_baseline_post;train_seed2001_baseline_pre;train_seed2001_baseline_pre
2,3.01746198333333,0.0776137997865758,2.9102753,3.10704285,11.0471541666667,0.155024654826795,train_seed2001_baseline_post;train_seed2002_baseline_pre;train_seed2002_baseline_pre;train_seed2002_baseline_post;train_seed2002_baseline_pre;validation_seed2003_baseline_pre
3,3.02887776666667,0.129028073642075,2.9102753,3.238860475,11.0207,0.293546661111996,train_seed2001_baseline_post;validation_seed2003_baseline_post;train_seed2001_baseline_pre;validation_seed2003_baseline_pre;train_seed2002_baseline_pre;train_seed2002_baseline_post
4,3.034349725,0.136773418189849,2.9102753,3.238860475,11.0232541666667,0.309941444234502,train_seed2001_baseline_pre;train_seed2001_baseline_post;validation_seed2003_baseline_pre;validation_seed2003_baseline_post;train_seed2001_baseline_post;validation_seed2003_baseline_pre
5,3.06376142083333,0.151526469719256,2.932601575,3.238860475,11.0029416666667,0.408285340683043,validation_seed2003_baseline_post;validation_seed2003_baseline_post;train_seed2001_baseline_pre;train_seed2001_baseline_pre;train_seed2001_baseline_post;validation_seed2003_baseline_post
6,3.02887776666667,0.129028073642075,2.9102753,3.238860475,11.0207,0.293546661111996,train_seed2001_baseline_pre;train_seed2002_baseline_pre;validation_seed2003_baseline_post;train_seed2002_baseline_post;validation_seed2003_baseline_pre;train_seed2001_baseline_post
7,2.9724815875,0.130956030111893,2.9102753,3.238860475,10.8628833333333,0.298910504025315,validation_seed2003_baseline_pre;validation_seed2003_baseline_post;train_seed2001_baseline_pre;validation_seed2003_baseline_pre;validation_seed2003_baseline_post;validation_seed2003_baseline_pre
8,3.05788445416667,0.122564797603969,2.9102753,3.238860475,11.0738875,0.294104646660847,train_seed2001_baseline_post;validation_seed2003_baseline_pre;train_seed2001_baseline_pre;train_seed2002_baseline_pre;validation_seed2003_baseline_post;train_seed2001_baseline_post
9,3.11818746666667,0.120601846064148,2.9102753,3.238860475,11.2230708333333,0.229854534117053,train_seed2001_baseline_post;train_seed2001_baseline_pre;train_seed2001_baseline_pre;validation_seed2003_baseline_pre;train_seed2001_baseline_post;train_seed2001_baseline_post
10,3.05091422916667,0.153774809992458,2.9102753,3.238860475,11.1020833333333,0.285488291645502,train_seed2002_baseline_pre;train_seed2001_baseline_pre;train_seed2002_baseline_post;train_seed2001_baseline_pre;train_seed2002_baseline_post;validation_seed2003_baseline_pre
11,3.07066105416667,0.142822295044794,2.9102753,3.238860475,11.1406583333333,0.266129380972239,train_seed2001_baseline_pre;train_seed2002_baseline_pre;validation_seed2003_baseline_pre;train_seed2002_baseline_pre;train_seed2001_baseline_pre;train_seed2002_baseline_post
12,2.9838453,0.1249315656525,2.932601575,3.238860475,10.8990583333333,0.294985989780307,train_seed2002_baseline_post;train_seed2002_baseline_post;validation_seed2003_baseline_post;train_seed2002_baseline_post;validation_seed2003_baseline_post;train_seed2001_baseline_pre
13,3.07059419583333,0.142899697122074,2.9102753,3.238860475,11.0987208333333,0.326459702113703,train_seed2001_baseline_pre;validation_seed2003_baseline_pre;train_seed2002_baseline_pre;train_seed2001_baseline_pre;validation_seed2003_baseline_post;train_seed2002_baseline_pre
14,2.94131897916667,0.0550863748588147,2.9102753,3.051483675,10.8507625,0.156976767190243,validation_seed2003_baseline_pre;validation_seed2003_baseline_pre;validation_seed2003_baseline_post;train_seed2002_baseline_post;validation_seed2003_baseline_pre;train_seed2002_baseline_pre
15,2.98162252083333,0.0776462686602689,2.932601575,3.10704285,10.8981875,0.237346528703288,train_seed2001_baseline_post;validation_seed2003_baseline_post;train_seed2002_baseline_pre;validation_seed2003_baseline_post;train_seed2002_baseline_post;train_seed2002_baseline_post
16,3.05241249583333,0.115206249890699,2.932601575,3.238860475,11.0713333333333,0.277333497646187,train_seed2001_baseline_pre;validation_seed2003_baseline_post;train_seed2002_baseline_pre;train_seed2002_baseline_post;train_seed2002_baseline_pre;train_seed2001_baseline_post
17,3.01291884583333,0.130781933807475,2.932601575,3.238860475,10.9941833333333,0.28611852948851,validation_seed2003_baseline_post;train_seed2002_baseline_post;train_seed2001_baseline_pre;train_seed2002_baseline_post;train_seed2001_baseline_post;train_seed2002_baseline_post
18,3.00352526666667,0.124696919138504,2.932601575,3.238860475,10.8956958333333,0.332341232551977,validation_seed2003_baseline_post;train_seed2002_baseline_pre;validation_seed2003_baseline_post;train_seed2002_baseline_post;train_seed2001_baseline_pre;validation_seed2003_baseline_post
19,3.00527617916667,0.136771056016174,2.9102753,3.238860475,10.9281291666667,0.328410553049333,validation_seed2003_baseline_pre;validation_seed2003_baseline_post;train_seed2001_baseline_post;train_seed2001_baseline_pre;validation_seed2003_baseline_post;validation_seed2003_baseline_pre
20,3.0235247375,0.167022325723562,2.9102753,3.238860475,10.9974541666667,0.354387893563209,train_seed2001_baseline_pre;validation_seed2003_baseline_pre;validation_seed2003_baseline_pre;validation_seed2003_baseline_post;validation_seed2003_baseline_pre;train_seed2001_baseline_pre
21,3.11487142916667,0.149986440990478,2.932601575,3.238860475,11.17945,0.343584193830276,train_seed2001_baseline_pre;train_seed2001_baseline_pre;train_seed2001_baseline_pre;train_seed2001_baseline_post;validation_seed2003_baseline_post;train_seed2002_baseline_post
22,3.0128519875,0.130831052779499,2.932601575,3.238860475,10.9522458333333,0.320736954300823,train_seed2002_baseline_post;validation_seed2003_baseline_post;train_seed2001_baseline_pre;train_seed2001_baseline_post;train_seed2002_baseline_post;validation_seed2003_baseline_post
23,3.02515672083333,0.132631505958382,2.9102753,3.238860475,11.0505791666667,0.253241420593409,train_seed2002_baseline_post;train_seed2001_baseline_pre;validation_seed2003_baseline_pre;train_seed2001_baseline_post;validation_seed2003_baseline_pre;train_seed2002_baseline_pre
24,3.0820768375,0.171944782047996,2.9102753,3.238860475,11.1142041666667,0.372690790876523,validation_seed2003_baseline_post;validation_seed2003_baseline_pre;train_seed2002_baseline_post;train_seed2001_baseline_pre;train_seed2001_baseline_pre;train_seed2001_baseline_pre
25,3.11115038333333,0.155585257427838,2.9102753,3.238860475,11.2093291666667,0.290908423054692,train_seed2001_baseline_pre;train_seed2001_baseline_pre;train_seed2001_baseline_post;validation_seed2003_baseline_pre;train_seed2002_baseline_post;train_seed2001_baseline_pre
26,3.03813762916667,0.132910121344269,2.9102753,3.238860475,11.0353125,0.301653139694421,train_seed2001_baseline_pre;validation_seed2003_baseline_post;train_seed2002_baseline_post;train_seed2001_baseline_post;train_seed2001_baseline_post;validation_seed2003_baseline_pre
27,3.01062920833333,0.0877071970677177,2.932601575,3.10704285,10.951375,0.268886586221778,train_seed2001_baseline_post;train_seed2002_baseline_post;validation_seed2003_baseline_post;validation_seed2003_baseline_post;train_seed2001_baseline_post;train_seed2002_baseline_pre
28,3.10189052083333,0.15751992608973,2.9102753,3.238860475,11.1947166666667,0.293096401661071,train_seed2002_baseline_post;validation_seed2003_baseline_pre;train_seed2001_baseline_pre;train_seed2001_baseline_pre;train_seed2001_baseline_pre;train_seed2002_baseline_pre
29,2.98168937916667,0.0775957727979732,2.932601575,3.10704285,10.940125,0.201905832010867,train_seed2002_baseline_post;train_seed2002_baseline_post;train_seed2001_baseline_post;validation_seed2003_baseline_post;train_seed2002_baseline_post;train_seed2002_baseline_pre
30,3.02515672083333,0.132631505958382,2.9102753,3.238860475,11.0505791666667,0.253241420593409,train_seed2002_baseline_post;validation_seed2003_baseline_pre;validation_seed2003_baseline_pre;train_seed2001_baseline_post;train_seed2001_baseline_pre;train_seed2002_baseline_pre
31,3.03441658333333,0.136713818743413,2.9102753,3.238860475,11.0651916666667,0.260592266129807,train_seed2002_baseline_post;train_seed2001_baseline_post;validation_seed2003_baseline_pre;train_seed2001_baseline_pre;train_seed2001_baseline_post;validation_seed2003_baseline_pre
32,3.04192553333333,0.128797504110209,2.932601575,3.238860475,11.0473708333333,0.292534726749095,train_seed2001_baseline_post;train_seed2002_baseline_post;train_seed2002_baseline_post;validation_seed2003_baseline_post;train_seed2001_baseline_post;train_seed2001_baseline_pre
33,3.00527617916667,0.136771056016174,2.9102753,3.238860475,10.9281291666667,0.328410553049333,validation_seed2003_baseline_pre;validation_seed2003_baseline_pre;validation_seed2003_baseline_post;validation_seed2003_baseline_post;train_seed2001_baseline_pre;train_seed2001_baseline_post
34,2.93280215,0.000219718903942994,2.932601575,2.933002725,10.7644875,0.13782068853224,train_seed2002_baseline_post;validation_seed2003_baseline_post;validation_seed2003_baseline_post;train_seed2002_baseline_post;validation_seed2003_baseline_post;train_seed2002_baseline_post
35,2.97236265833333,0.0612871385470454,2.932601575,3.051483675,10.883575,0.216100500924916,train_seed2002_baseline_pre;train_seed2002_baseline_pre;train_seed2002_baseline_post;train_seed2002_baseline_post;validation_seed2003_baseline_post;validation_seed2003_baseline_post
36,3.0836419625,0.138038189474419,2.932601575,3.238860475,11.1253916666667,0.317787267942987,train_seed2002_baseline_pre;validation_seed2003_baseline_post;train_seed2001_baseline_post;train_seed2001_baseline_pre;train_seed2001_baseline_pre;train_seed2002_baseline_post
37,3.08911392083333,0.142807787372768,2.9102753,3.238860475,11.1279458333333,0.33202566821583,train_seed2001_baseline_pre;validation_seed2003_baseline_post;validation_seed2003_baseline_pre;train_seed2001_baseline_pre;train_seed2001_baseline_post;train_seed2001_baseline_post
38,2.99980422083333,0.127537380688421,2.9102753,3.238860475,10.925575,0.312051788169849,train_seed2001_baseline_pre;validation_seed2003_baseline_pre;train_seed2002_baseline_pre;validation_seed2003_baseline_post;train_seed2002_baseline_post;validation_seed2003_baseline_post
39,2.97783461666667,0.0809755114219397,2.9102753,3.10704285,10.8861291666667,0.239654040971914,validation_seed2003_baseline_post;validation_seed2003_baseline_post;train_seed2002_baseline_pre;train_seed2002_baseline_post;validation_seed2003_baseline_pre;train_seed2001_baseline_post
40,3.0196847625,0.124143720225463,2.9102753,3.238860475,11.048025,0.233248071267481,train_seed2002_baseline_pre;train_seed2002_baseline_post;train_seed2001_baseline_pre;train_seed2002_baseline_post;train_seed2002_baseline_pre;validation_seed2003_baseline_pre
41,2.9871613375,0.0932713194298585,2.9102753,3.10704285,10.9426791666667,0.22617238194388,train_seed2001_baseline_post;validation_seed2003_baseline_post;train_seed2002_baseline_post;train_seed2001_baseline_post;validation_seed2003_baseline_pre;train_seed2002_baseline_post
42,3.0507805125,0.153897937804528,2.9102753,3.238860475,11.0182083333333,0.375525747674734,train_seed2001_baseline_pre;train_seed2002_baseline_pre;validation_seed2003_baseline_pre;validation_seed2003_baseline_post;train_seed2001_baseline_pre;validation_seed2003_baseline_post
43,2.9488947875,0.0510667922985815,2.9102753,3.051483675,10.8748791666667,0.155365345570261,train_seed2002_baseline_pre;validation_seed2003_baseline_post;train_seed2002_baseline_post;validation_seed2003_baseline_pre;train_seed2002_baseline_post;train_seed2002_baseline_post
44,2.95057884166667,0.0774418676301756,2.9102753,3.10704285,10.865375,0.188218989477686,train_seed2001_baseline_post;train_seed2002_baseline_post;validation_seed2003_baseline_pre;validation_seed2003_baseline_post;validation_seed2003_baseline_pre;validation_seed2003_baseline_pre
45,3.017395125,0.0777012295277446,2.9102753,3.10704285,11.0052166666667,0.224438274179488,validation_seed2003_baseline_post;train_seed2001_baseline_post;validation_seed2003_baseline_pre;train_seed2002_baseline_pre;train_seed2002_baseline_pre;train_seed2002_baseline_pre
46,2.9976483,0.0822287427871667,2.9102753,3.10704285,10.9666416666667,0.220254549707077,train_seed2002_baseline_pre;train_seed2001_baseline_post;train_seed2002_baseline_post;train_seed2002_baseline_pre;validation_seed2003_baseline_post;validation_seed2003_baseline_pre
47,2.99758144166667,0.0822919558009343,2.9102753,3.10704285,10.9247041666667,0.258357076261068,train_seed2001_baseline_post;train_seed2002_baseline_pre;train_seed2002_baseline_pre;validation_seed2003_baseline_pre;validation_seed2003_baseline_post;validation_seed2003_baseline_post
48,2.9871613375,0.0932713194298585,2.9102753,3.10704285,10.9426791666667,0.22617238194388,train_seed2002_baseline_post;train_seed2001_baseline_post;train_seed2001_baseline_post;validation_seed2003_baseline_post;train_seed2002_baseline_post;validation_seed2003_baseline_pre
49,2.94517374166667,0.0532578732713993,2.9102753,3.051483675,10.9047583333333,0.112057027520216,train_seed2002_baseline_post;validation_seed2003_baseline_pre;train_seed2002_baseline_post;validation_seed2003_baseline_pre;train_seed2002_baseline_post;train_seed2002_baseline_pre
50,3.1033887875,0.119394356451002,2.932601575,3.238860475,11.1639666666667,0.296904268943152,train_seed2002_baseline_pre;train_seed2001_baseline_pre;train_seed2002_baseline_pre;train_seed2001_baseline_pre;validation_seed2003_baseline_post;train_seed2001_baseline_post
51,2.996083175,0.130188380687628,2.9102753,3.238860475,10.9554541666667,0.28663444856501,validation_seed2003_baseline_pre;validation_seed2003_baseline_post;validation_seed2003_baseline_pre;train_seed2002_baseline_post;train_seed2001_baseline_pre;train_seed2002_baseline_pre
52,3.01062920833333,0.0877071970677177,2.932601575,3.10704285,10.951375,0.268886586221778,train_seed2002_baseline_pre;train_seed2001_baseline_post;train_seed2002_baseline_post;train_seed2001_baseline_post;validation_seed2003_baseline_post;validation_seed2003_baseline_post
53,3.086958,0.106545548685235,2.9102753,3.238860475,11.1690125,0.203546366185941,train_seed2001_baseline_post;train_seed2001_baseline_pre;train_seed2001_baseline_post;train_seed2002_baseline_pre;validation_seed2003_baseline_pre;train_seed2001_baseline_post
54,3.06167235833333,0.117329913182029,2.932601575,3.238860475,11.0859458333333,0.282777531558234,train_seed2001_baseline_post;validation_seed2003_baseline_post;train_seed2002_baseline_pre;train_seed2002_baseline_post;train_seed2001_baseline_post;train_seed2001_baseline_pre
55,3.00372584166667,0.12456014078483,2.933002725,3.238860475,11.0215083333333,0.227679152354067,train_seed2002_baseline_post;train_seed2002_baseline_pre;train_seed2001_baseline_pre;train_seed2002_baseline_post;train_seed2002_baseline_post;train_seed2002_baseline_post
56,3.0563861875,0.15942401974826,2.9102753,3.238860475,11.1046375,0.301494181432248,train_seed2001_baseline_pre;validation_seed2003_baseline_pre;train_seed2001_baseline_post;train_seed2002_baseline_post;validation_seed2003_baseline_pre;train_seed2001_baseline_pre
57,2.96174197916667,0.0711827793991892,2.932601575,3.10704285,10.7757375,0.235097396705072,train_seed2001_baseline_post;validation_seed2003_baseline_post;validation_seed2003_baseline_post;train_seed2002_baseline_post;validation_seed2003_baseline_post;validation_seed2003_baseline_post
58,2.97633635,0.129085535608605,2.9102753,3.238860475,10.9168791666667,0.275121468817262,validation_seed2003_baseline_pre;validation_seed2003_baseline_post;train_seed2001_baseline_pre;train_seed2002_baseline_post;validation_seed2003_baseline_pre;train_seed2002_baseline_post
59,3.03062867916667,0.140352085438566,2.9102753,3.238860475,11.0531333333333,0.271739055744052,validation_seed2003_baseline_pre;train_seed2001_baseline_pre;validation_seed2003_baseline_pre;validation_seed2003_baseline_pre;train_seed2001_baseline_post;train_seed2001_baseline_post
60,2.96485370833333,0.0678554239624028,2.9102753,3.051483675,10.9013958333333,0.189833445694288,train_seed2002_baseline_post;train_seed2002_baseline_pre;validation_seed2003_baseline_pre;train_seed2002_baseline_pre;validation_seed2003_baseline_pre;validation_seed2003_baseline_post
